,Language,Meaning,Phonological Form,Cognate Class,cc
65,Russian,stand,stɔ'jatʲ,B,stand:B
66,Polish,stand,statɕ,B,stand:B
67,Belarusian,stand,staˈjatsʲ,B,stand:B
68,Ukrainian,stand,stɔˈjatɪ,B,stand:B
69,Slovak,stand,staːc,B,stand:B
70,Czech,stand,staːt,B,stand:B
71,Sorbian Upper,stand,statʃ,B,stand:B
72,Sorbian Lower,stand,ˈstɔjaɕ,B,stand:B
73,Slovenian,stand,ˈstǎːti,B,stand:B
77,Old Norse,stand,ˈstanda,B,stand:B
78,Icelandic,stand,ˈstand̥a,B,stand:B
79,Faroese,stand,ˈstand̥a,B,stand:B
80,Norwegian Riksmal,stand,stoː,B,stand:B
81,Stavangersk,stand,stoː,B,stand:B
82,Old Swedish,stand,ˈstanda,B,stand:B
83,Swedish,stand,sto:,B,stand:B
86,Elfdalian,stand,ˈstɑ̀ndɑ,B,stand:B
87,Danish,stand,sd̥ʰɔˀ,B,stand:B
88,Danish Fjolde,stand,sdɔː,B,stand:B
90,Gutnish Lau,stand,stɑː,B,stand:B
92,English,stand,stænd,B,stand:B
93,Frisian,stand,stɪ.ən,B,stand:B
94,Dutch,stand,stan,B,stand:B
100,German,stand,'ʃte:ən,B,stand:B
107,Latin,stand,staːre,B,stand:B
109,Portuguese,stand,ɨʃˈtaɾ ɐ̃j pɛ,H,stand:H
111,Spanish,stand,es'taɾ de pje,H,stand:H
117,French,stand,"ɛtʀ, ʀɛste dəbu",E,stand:E
125,Italian,stand,'stare im 'pjɛdi,B,stand:B
129,Old Irish,stand,doˈarʹəsʹəðər,B,stand:B
136,Irish,stand,ʃasˠ,B,stand:B
10,Ancient Greek,count,aritʰméɔː,J,count:J
11,Greek,count,me̞ˈtro̞,I,count:I
13,Classical Armenian,count,tʰiu̯-ɛ-m,Q,count:Q
14,Armenian Eastern,count,tʰəʋɛl,Q,count:Q
15,Armenian Eastern,count,hɑmɾɛl,O,count:O
16,Armenian Eastern,count,hɑʃˈvɛl,K,count:K
32,Ossetic,count,nɨmajɨn,I,count:I
33,Ossetic Iron,count,nymaj-,I,count:I
34,Ossetic Digor,count,nimaj-,I,count:I
43,Assamese,count,gɒn,C,count:C
44,Oriya,count,gɔɳ-iba,C,count:C
46,Bihari,count,ganəb,C,count:C
47,Magahi,count,ɡinnɑ,C,count:C
50,Urdu,count,ɡɪnnə,C,count:C
55,Marathi,count,'modzɳe,V,count:V
60,Old Church Slavonic,count,tʃisti,G,count:G
61,Serbo-Croatian,count,ˈbrɔ̌jati,F,count:F
62,Bulgarian,count,bruˈjɤ,F,count:F
63,Macedonian,count,ˈbro.i,F,count:F
64,Russian,count,stʃi'tatʲ,G,count:G
65,Polish,count,ˈlitʂɘ̟ʨ,H,count:H
66,Belarusian,count,lʲiˈtʂɨtsʲ,H,count:H
67,Ukrainian,count,lʲiˈtʂɪtɪ,H,count:H
68,Ukrainian,count,raxuˈvatɪ,P,count:P
69,Slovak,count,ˈpɔtʃiːtac,G,count:G
70,Czech,count,ˈpɔtʃiːtat,G,count:G
71,Sorbian Upper,count,ˈlitʃitʃ,H,count:H
72,Sorbian Lower,count,ˈraxnowaɕ,P,count:P
73,Sorbian Lower,count,ˈlʲitsɘ̟ɕ,H,count:H
74,Slovenian,count,ˈʃtěːti,G,count:G
77,Old Norse,count,ˈtelja,A,count:A
78,Icelandic,count,ˈtʰɛlja,A,count:A
79,Faroese,count,ˈtʰɛlja,A,count:A
80,Norwegian Riksmal,count,ˈtɛ̀lːə,A,count:A
81,Stavangersk,count,"ˈtɛ̀lːa, ˈtèːla",A,count:A
82,Old Swedish,count,ˈtælia,A,count:A
83,Swedish,count,ˈrɛ̀:kna,P,count:P
86,Elfdalian,count,ˈrɛ̀kːɛn,P,count:P
87,Danish,count,ˈd̥ʰɛlə,A,count:A
88,Danish Fjolde,count,teːl,A,count:A
90,Gutnish Lau,count,ˈtɛːlɛ,A,count:A
93,English,count,kaʊnt,D,count:D
94,Frisian,count,'tɛlə,A,count:A
95,Dutch,count,'rekənə(n),P,count:P
96,Dutch,count,tellə(n),A,count:A
103,German,count,'t͜sɛ:lən,A,count:A
108,Latin,count,numeˈraːre,N,count:N
109,Catalan,count,kum'ta,D,count:D
111,Portuguese,count,kõˈtaɾ,D,count:D
112,Spanish,count,kon'taɾ,D,count:D
119,French,count,kɔ̃te,D,count:D
126,Italian,count,kon'tare,D,count:D
129,Old Irish,count,aðˈrʹi:ṽʹi,J,count:J
131,Middle Cornish,count,ni'vɛra,N,count:N
132,Middle Breton,count,niˈveːraṽ,M/N,count:M/N
133,Middle Breton,count,"ˈkôntaṽ, ˈkuntaṽ",E,count:E
135,Breton,count,ˈkɔ̃ntã,E,count:E
136,Breton,count,niˈveːrĩ,M/N,count:M/N
9,Ancient Greek,scratch,knáɔː,Af,scratch:Af
10,Greek,scratch,ˈk͡sino̞,G,scratch:G
12,Classical Armenian,scratch,kʰerem,T,scratch:T
13,Armenian Eastern,scratch,kʰɛˈɾɛl,T,scratch:T
25,Ossetic Iron,scratch,nyχ-,J,scratch:J
26,Ossetic Digor,scratch,niχ-,J,scratch:J
32,Assamese,scratch,ãsor,X,scratch:X
33,Oriya,scratch,rampuɖiba,Y,scratch:Y
34,Bihari,scratch,culculaeəb,Z,scratch:Z
35,Magahi,scratch,kʰrocənɑ,Aa,scratch:Aa
38,Urdu,scratch,kʊɾəʧnə,G,scratch:G
43,Marathi,scratch,oɾbaɖ'ɳe,Ad,scratch:Ad
48,Old Church Slavonic,scratch,tʃɛsɑti,G,scratch:G
49,Serbo-Croatian,scratch,ˈtʃɛ̌ʃati,G,scratch:G
50,Bulgarian,scratch,ˈtʃɛʃə,G,scratch:G
51,Macedonian,scratch,ˈɡrebɛ,Ag,scratch:Ag
52,Russian,scratch,tʃɛ'satʲ,G,scratch:G
53,Polish,scratch,ˈdrapatɕ,R,scratch:R
54,Belarusian,scratch,ˈtʂuxatsʲ,Ae,scratch:Ae
55,Ukrainian,scratch,ˈtʂuxatɪ,Ae,scratch:Ae
56,Slovak,scratch,ˈʃkrabac,T,scratch:T
57,Czech,scratch,ˈʃkraːbat,T,scratch:T
58,Sorbian Upper,scratch,ˈdʀapatʃ,R,scratch:R
59,Sorbian Lower,scratch,ˈdrapaɕ,R,scratch:R
60,Slovenian,scratch,ˈprǎːskati,Ah,scratch:Ah
65,Old Norse,scratch,ˈɣriːva,D,scratch:D
66,Old Norse,scratch,klaː,I,scratch:I
67,Icelandic,scratch,ˈkʰlouːra,I,scratch:I
68,Faroese,scratch,ˈkʰlɔuːɹa,I,scratch:I
69,Norwegian Riksmal,scratch,kløː,I,scratch:I
70,Stavangersk,scratch,kløː,I,scratch:I
71,Old Swedish,scratch,klaː,I,scratch:I
72,Old Swedish,scratch,ˈriːva,D,scratch:D
73,Swedish,scratch,kloː,I,scratch:I
75,Swedish,scratch,ˈklø̀:sa,I,scratch:I
76,Swedish,scratch,ˈrì:va,D,scratch:D
81,Elfdalian,scratch,klɔː,I,scratch:I
82,Danish,scratch,ˈg̥ʰʁɑsə,C,scratch:C
83,Danish,scratch,ɡ̊ʰløˀ,I,scratch:I
84,Danish Fjolde,scratch,klyø,I,scratch:I
85,Danish Fjolde,scratch,kɹats,C,scratch:C
86,Gutnish Lau,scratch,"klaː, kloː",I,scratch:I
89,English,scratch,skrætʃ,C,scratch:C
90,Frisian,scratch,skrab,T,scratch:T
91,Dutch,scratch,"'krɑbələ(n), 'krɑbə(n)",B,scratch:B
97,German,scratch,'krat͜sn̩,C,scratch:C
103,Latin,scratch,ˈskabere,M,scratch:M
105,Catalan,scratch,gɾə'ta,H,scratch:H
107,Portuguese,scratch,ʀɐʃˈpaɾ,L,scratch:L
108,Spanish,scratch,ras'kaɾ,L,scratch:L
114,French,scratch,gʀate,H,scratch:H
123,Italian,scratch,grat'tare,H,scratch:H
126,Old Irish,scratch,sʹkʹrʹi:bəðʹ,T,scratch:T
128,Middle Cornish,scratch,'kravas,T,scratch:T
130,Middle Breton,scratch,ˈskaːbat,D/T,scratch:D/T
7,Ancient Greek,thick,pyknós,H,thick:H
8,Ancient Greek,thick,pakʰýs,I,thick:I
9,Greek,thick,xo̞ˈ(n)dro̞s,N,thick:N
24,Ossetic,thick,"stavd, ʃtavd",Ab,thick:Ab
25,Ossetic Iron,thick,bɐždžyn,R,thick:R
26,Ossetic Digor,thick,bɐžgin,R,thick:R
34,Assamese,thick,dath,Ad,thick:Ad
35,Oriya,thick,moʈa,C,thick:C
39,Magahi,thick,mot,C,thick:C
42,Urdu,thick,ˈmo.ʈə,C,thick:C
51,Old Church Slavonic,thick,dɛbɛlʊ̆,E,thick:E
52,Old Church Slavonic,thick,tl̩stʊ̆,F,thick:F
53,Serbo-Croatian,thick,ˈdɛ̌bɛ.ɔ,E,thick:E
54,Bulgarian,thick,dɘˈbɛɫ,E,thick:E
55,Macedonian,thick,ˈdebɛl,E,thick:E
56,Russian,thick,'tɔɫstɨj,F,thick:F
57,Polish,thick,ˈgrubɘ̟,M,thick:M
58,Belarusian,thick,ˈtɔwstɨ,F,thick:F
59,Ukrainian,thick,tɔʋˈstɪj,F,thick:F
60,Slovak,thick,ˈɦrubiː,M,thick:M
61,Czech,thick,ˈtlustiː,F,thick:F
62,Sorbian Upper,thick,ˈtostɘ̟,F,thick:F
63,Sorbian Lower,thick,ˈtwustɘ̟,F,thick:F
64,Slovenian,thick,ˈdɛ̌ːbɛw,E,thick:E
69,Old Norse,thick,θykːr,A,thick:A
70,Old Norse,thick,diɡr,T,thick:T
71,Icelandic,thick,ˈθɪʰkːʏr,A,thick:A
72,Icelandic,thick,ˈd̥ɪːɣʏr,T,thick:T
73,Icelandic,thick,ˈɡ̊ɪld̥ʏr,U,thick:U
74,Faroese,thick,ˈd̥iːɡ̊ʊɹ,T,thick:T
75,Faroese,thick,ˈtʃʰʏʰkːʊɹ,A,thick:A
76,Norwegian Riksmal,thick,tʏkː,A,thick:A
77,Stavangersk,thick,ˈçukːə,A,thick:A
78,Old Swedish,thick,ˈθjokːer,A,thick:A
79,Old Swedish,thick,ˈdiːɣer,T,thick:T
80,Swedish,thick,ɕɔkː,A,thick:A
84,Elfdalian,thick,ˈdɪ́ːgɛr,T,thick:T
85,Danish,thick,d̥ʰyg̥ʰ,A,thick:A
86,Danish Fjolde,thick,cyɡ,A,thick:A
88,Gutnish Lau,thick,ˈtjokːar,A,thick:A
90,English,thick,θɪk,A,thick:A
91,Frisian,thick,tsjok,A,thick:A
92,Dutch,thick,dɪk,A,thick:A
97,German,thick,dɪk,A,thick:A
103,Latin,thick,ˈspisːus,Q,thick:Q
105,Catalan,thick,gɾɔs,D,thick:D
106,Catalan,thick,əs'pɛs,Q,thick:Q
107,Catalan,thick,gɾu’ʃut,D,thick:D
108,Portuguese,thick,ɨʃˈpesu,Q,thick:Q
117,French,thick,epɛ,Q,thick:Q
124,Italian,thick,'grɔsso,D,thick:D
127,Old Irish,thick,tʹiuɣ,A,thick:A
128,Old Irish,thick,rʹeṽər,S,thick:S
136,Irish,thick,tʲjuː,A,thick:A
12,Ancient Greek,in,en,E,in:E
13,Greek,in,"se̞, is",G,in:G
14,Greek,in,e̞n,E,in:E
16,Classical Armenian,in,i ~ j-,E,in:E
18,Armenian Eastern,in,mɛʧʰ,D,in:D
31,Ossetic,in,-ɨ,O,in:O
34,Ossetic Iron,in,-y,O,in:O
35,Ossetic Digor,in,-i,O,in:O
42,Assamese,in,bhitɒrɒt,H,in:H
43,Oriya,in,bhitɔre,H,in:H
46,Bihari,in,bhitər,H,in:H
47,Magahi,in,mẽ,G,in:G
52,Urdu,in,ʔənd̪əɾ,E,in:E
53,Urdu,in,mẽ,G,in:G
61,Marathi,in,at,I,in:I
65,Old Church Slavonic,in,vʊ̆,E,in:E
66,Serbo-Croatian,in,u,E,in:E
67,Bulgarian,in,v(ɤf),E,in:E
68,Macedonian,in,vɔ,E,in:E
69,Russian,in,v,E,in:E
70,Polish,in,v,E,in:E
71,Belarusian,in,u,E,in:E
72,Ukrainian,in,ʋ,E,in:E
73,Slovak,in,v(ɔ),E,in:E
74,Czech,in,v(ɛ),E,in:E
75,Sorbian Upper,in,w(ɛ),E,in:E
76,Sorbian Lower,in,w(ɛ),E,in:E
77,Slovenian,in,v,E,in:E
81,Old Norse,in,iː,E,in:E
82,Icelandic,in,iː,E,in:E
83,Faroese,in,ʊiː,E,in:E
84,Norwegian Riksmal,in,iː,E,in:E
85,Stavangersk,in,iː,E,in:E
86,Old Swedish,in,iː,E,in:E
87,Swedish,in,po:,R,in:R
88,Swedish,in,'ʉ:ti,S,in:S
89,Swedish,in,"iː, ɪ",E,in:E
92,Elfdalian,in,ɪː,E,in:E
93,Danish,in,i,E,in:E
94,Danish Fjolde,in,i,E,in:E
96,Gutnish Lau,in,ɛɪ,E,in:E
98,English,in,ɪn,E,in:E
99,Frisian,in,'bɪnən,E,in:E
100,Dutch,in,vɑn,M,in:M
101,Dutch,in,ɪn,E,in:E
102,Dutch,in,ɔp,L,in:L
103,Dutch,in,nar,T,in:T
104,Dutch,in,bɛi,J,in:J
111,German,in,ɪn,E,in:E
119,Latin,in,in,E,in:E
122,Catalan,in,a,M,in:M
123,Catalan,in,dins,E/K,in:E/K
124,Catalan,in,də,V,in:V
125,Portuguese,in,ɐ̃j,E,in:E
126,Spanish,in,en,E,in:E
132,French,in,dɑ̃,E/K,in:E/K
139,Italian,in,in,E,in:E
142,Old Irish,in,i,E,in:E
143,Middle Cornish,in,ɪn,E,in:E
144,Middle Breton,in,"e, en",E,in:E
145,Breton,in,"e, en",E,in:E
147,Irish,in,ɪ,E,in:E
15,Ancient Greek,big,méɡas,B,big:B
18,Greek,big,me̞ˈɣalo̞s,B,big:B
20,Classical Armenian,big,mɛt͡s,B,big:B
21,Armenian Eastern,big,mɛʦ,B,big:B
42,Ossetic,big,æstɨr,L,big:L
43,Ossetic Iron,big,štyr,L,big:L
44,Ossetic Digor,big,ustur,L,big:L
55,Oriya,big,bɔɽɔ,C,big:C
57,Bihari,big,nəmhər,Ac,big:Ac
58,Magahi,big,"bəɽɑ, bəɽ",C,big:C
61,Urdu,big,bəɽɛ,C,big:C
66,Marathi,big,'moʈʰə,H,big:H
70,Old Church Slavonic,big,vɛlikʊ̆,F,big:F
71,Serbo-Croatian,big,ˈvɛ̌lik,F,big:F
72,Bulgarian,big,ɡuˈlʲam,E,big:E
73,Macedonian,big,ˈɡolɛm,E,big:E
74,Russian,big,bolʲ'ʂɔj,Ai,big:Ai
75,Polish,big,ˈduʐɘ̟,Ah,big:Ah
76,Belarusian,big,vʲaˈlʲikʲi,F,big:F
77,Ukrainian,big,ʋɛˈɫɪkɪj,F,big:F
78,Slovak,big,ˈvɛlʲkiː,F,big:F
79,Czech,big,ˈvɛlkiː,F,big:F
80,Sorbian Upper,big,ˈwulki,F,big:F
81,Sorbian Lower,big,ˈwĕɛlʲiki,F,big:F
82,Slovenian,big,ˈvɛ̂ːlik,F,big:F
86,Old Norse,big,ˈmikilː,B,big:B
87,Old Norse,big,stoːrː,O,big:O
88,Icelandic,big,stouːr,O,big:O
89,Faroese,big,ˈstɔuːɹʊɹ,O,big:O
90,Faroese,big,ˈmiːtʃɪl,B,big:B
91,Norwegian Riksmal,big,stuːɾ,O,big:O
92,Stavangersk,big,ˈstuːʁə,O,big:O
93,Old Swedish,big,ˈmyːkil,B,big:B
94,Old Swedish,big,stoːr,O,big:O
95,Swedish,big,stuːr,O,big:O
96,Swedish,big,gru:v,A,big:A
99,Elfdalian,big,stʉːr,O,big:O
100,Danish,big,ˈsd̥ʰoˀɐ̯,O,big:O
101,Danish Fjolde,big,sduoɹ,O,big:O
103,Gutnish Lau,big,ˈstɛurar,O,big:O
105,English,big,bɪg,G,big:G
107,Dutch,big,ɣrot,A,big:A
116,German,big,gro:s,A,big:A
123,Latin,big,ˈɡrandis,D,big:D
124,Latin,big,ˈmaŋnus,B,big:B
125,Catalan,big,gran,D,big:D
127,Portuguese,big,ˈɡɾɐ̃ðɨ,D,big:D
128,Spanish,big,'ɡɾande,D,big:D
134,French,big,gʀɑ̃,D,big:D
141,Italian,big,'grande,D,big:D
146,Old Irish,big,maɣʹe,B,big:B
147,Old Irish,big,"mo:r, ma:r",I,big:I
149,Middle Cornish,big,bra:z,Af/Ag,big:Af/Ag
152,Middle Breton,big,ˈmøːr,I,big:I
153,Middle Breton,big,ˈbraːs,Af,big:Af
154,Breton,big,ˈbraːs,Af/Ag,big:Af/Ag
158,Irish,big,mˠɔːr,I,big:I
9,Ancient Greek,wing,ptéryks,K,wing:K
10,Greek,wing,fte̞ˈruɣa,K,wing:K
12,Classical Armenian,wing,tʰew,K,wing:K
13,Armenian Eastern,wing,tʰɛv,K,wing:K
30,Ossetic Iron,wing,bažyr,M,wing:M
31,Ossetic Digor,wing,bazur,M,wing:M
36,Assamese,wing,pakhi,F,wing:F
37,Oriya,wing,ɖeɳa,E,wing:E
38,Oriya,wing,pɔkhi,F,wing:F
41,Bihari,wing,paĩkh,F,wing:F
42,Magahi,wing,pɑ̃kʰ,F,wing:F
44,Urdu,wing,pəɾ,K,wing:K
45,Urdu,wing,bɑzu,M,wing:M
49,Marathi,wing,'pãŋkʰə,F,wing:F
53,Old Church Slavonic,wing,krilɔ,I,wing:I
54,Serbo-Croatian,wing,krǐːlɔ,I,wing:I
55,Bulgarian,wing,kriˈɫɔ,I,wing:I
56,Macedonian,wing,ˈkrilɔ,I,wing:I
57,Russian,wing,krɨˈɫɔ,I,wing:I
58,Polish,wing,ˈskʂɘ̟dwɔ,I,wing:I
59,Belarusian,wing,krɨˈɫɔ,I,wing:I
60,Ukrainian,wing,krɪˈɫɔ,I,wing:I
61,Slovak,wing,ˈkriːdlɔ,I,wing:I
62,Czech,wing,ˈkr̝̊iːdlɔ,I,wing:I
63,Sorbian Upper,wing,ˈkʃidwɔ,I,wing:I
64,Sorbian Lower,wing,ˈkɕidwɔ,I,wing:I
65,Slovenian,wing,ˈkrǐːlɔ,I,wing:I
69,Old Norse,wing,vɛnɣr,J,wing:J
70,Icelandic,wing,ˈvaiŋɡ̊ʏr,J,wing:J
71,Faroese,wing,ˈvɔŋɡ̊ʊɹ,J,wing:J
72,Norwegian Riksmal,wing,ˈʋɪ̀ŋːə,J,wing:J
73,Stavangersk,wing,ʋɛŋː,J,wing:J
74,Old Swedish,wing,ˈviŋːe,J,wing:J
75,Swedish,wing,ˈvɪ̀ŋːə,J,wing:J
78,Elfdalian,wing,wɑɪŋg,J,wing:J
79,Danish,wing,ˈveŋə,J,wing:J
80,Danish Fjolde,wing,veŋ,J,wing:J
81,Gutnish Lau,wing,vɛŋɡ,J,wing:J
83,English,wing,wɪŋ,J,wing:J
85,Dutch,wing,'vløɣəl,B,wing:B
90,German,wing,'flʏ:gl̩,B,wing:B
94,Latin,wing,ˈaːla,G,wing:G
95,Latin,wing,penːa,K,wing:K
97,Catalan,wing,ˈaɫə,G,wing:G
99,Portuguese,wing,ˈazɐ,G,wing:G
100,Spanish,wing,'ala,G,wing:G
106,French,wing,ɛl,G,wing:G
112,Italian,wing,'ala,G,wing:G
115,Old Irish,wing,sʹkʹi:əθ,N,wing:N
116,Old Irish,wing,e:tʹe,K,wing:K
117,Middle Cornish,wing,'askɛl,G/L,wing:G/L
118,Middle Breton,wing,ˈaskel,G/L,wing:G/L
119,Breton,wing,ˈaskɛɭ,G/L,wing:G/L
13,Ancient Greek,if,eː,Q,if:Q
14,Greek,if,i,Q,if:Q
15,Greek,if,an,M,if:M
17,Classical Armenian,if,etʰe,W,if:W
36,Ossetic,if,kwɨ,A,if:A
37,Ossetic Iron,if,kɐd/kʷy,A,if:A
38,Ossetic Digor,if,kɐd/ku,A,if:A
43,Assamese,if,z̤âdi,P,if:P
45,Oriya,if,jɔdi,P,if:P
50,Magahi,if,əɡər,E,if:E
54,Urdu,if,ʔəɡəɾ,E,if:E
60,Marathi,if,dzəɾ,P,if:P
65,Old Church Slavonic,if,ɑʃtɛ,Ai,if:Ai
66,Serbo-Croatian,if,ˈâkɔ,R,if:R
67,Bulgarian,if,əˈkɔ,R,if:R
68,Macedonian,if,ˈakɔ,R,if:R
69,Russian,if,'jɛsʲlʲi,I,if:I
70,Polish,if,jɛˈʐɛli,I,if:I
71,Belarusian,if,kaˈlʲi,T,if:T
72,Ukrainian,if,jakˈʂtʂɔ,R,if:R
73,Slovak,if,ˈkɛbi,F,if:F
74,Slovak,if,ak,R,if:R
75,Czech,if,ˈjɛstlɪ,I,if:I
76,Sorbian Upper,if,dɘ̟ʃ,U,if:U
77,Sorbian Lower,if,ɡaʂ,U,if:U
78,Slovenian,if,ˈakɔ,R,if:R
83,Old Norse,if,ef,R,if:R
84,Icelandic,if,ɛf,R,if:R
85,Faroese,if,ʊmː,K,if:K
87,Norwegian Riksmal,if,ʋiːs,J,if:J
88,Stavangersk,if,"ʋɪsː, ʋɪst",J,if:J
89,Old Swedish,if,umː,K,if:K
91,Swedish,if,soˈvìːda,Af,if:Af
92,Swedish,if,ɔmː,K,if:K
93,Swedish,if,iˈfalː,V,if:V
97,Elfdalian,if,ʉm,K,if:K
98,Danish,if,ves,J,if:J
99,Danish Fjolde,if,væn,U,if:U
100,Gutnish Lau,if,umː,K,if:K
102,English,if,ɪf,R,if:R
103,Frisian,if,ɔf,R,if:R
105,Dutch,if,ɑls,Ae,if:Ae
106,Dutch,if,ɪn'din,B,if:B
112,German,if,vɛn,U,if:U
119,Latin,if,siː,G,if:G
120,Catalan,if,si,G,if:G
121,Portuguese,if,sɨ,G,if:G
122,Spanish,if,si,G,if:G
128,French,if,si,G,if:G
134,Italian,if,se,G,if:G
137,Old Irish,if,"ma:, ma",H,if:H
139,Middle Cornish,if,mar,H,if:H
144,Middle Breton,if,"ma, mar",H,if:H
145,Breton,if,ma,H,if:H
19,Ancient Greek,not,mɛː,F,not:F
20,Ancient Greek,not,uː,B,not:B
24,Greek,not,mi(n),F,not:F
25,Greek,not,ðe̞n,E,not:E
28,Classical Armenian,not,očʰ,B,not:B
29,Armenian Eastern,not,voʧʰ,B,not:B
44,Ossetic,not,"næ, nætæ",A,not:A
45,Ossetic Iron,not,nɐ/ma,A,not:A
46,Ossetic Digor,not,nɐ/ma,A,not:A
53,Assamese,not,"nai, nɛ",A,not:A
54,Oriya,not,nahĩ,A,not:A
56,Bihari,not,nəi,A,not:A
61,Urdu,not,nəhĩ,A,not:A
66,Marathi,not,"'naɦi:, nə",A,not:A
70,Old Church Slavonic,not,nɛ,A,not:A
71,Serbo-Croatian,not,nɛ,A,not:A
72,Bulgarian,not,nɛ,A,not:A
73,Macedonian,not,ne,A,not:A
74,Russian,not,nʲɛ,A,not:A
75,Polish,not,ɲɛ,A,not:A
76,Belarusian,not,nʲɛ,A,not:A
77,Ukrainian,not,nɛ,A,not:A
78,Slovak,not,ɲiɛ,A,not:A
79,Czech,not,nɛ,A,not:A
80,Sorbian Upper,not,nĕɛ,A,not:A
81,Sorbian Lower,not,ɲɛ-,A,not:A
82,Slovenian,not,nɛ,A,not:A
86,Old Norse,not,neː,A,not:A
87,Old Norse,not,"ˈekːi, ˈɛiɡi",C,not:C
88,Old Norse,not,a,A,not:A
89,Icelandic,not,ˈɛʰcːɪ,C,not:C
90,Faroese,not,ˈɪtʃʰːɪ,C,not:C
91,Norwegian Riksmal,not,ˈɪ̀kːə,C,not:C
92,Stavangersk,not,"ˈɪçːə, çə",C,not:C
93,Old Swedish,not,ˈækːe,C,not:C
94,Swedish,not,ˈɪ̀ntə,C,not:C
97,Elfdalian,not,ɪ̀ntɛ,C,not:C
98,Danish,not,"eg̥ʰə, eg̥ʰ",C,not:C
99,Danish Fjolde,not,eɡ,C,not:C
102,Gutnish Lau,not,ˈintɛ,C,not:C
103,Gutnish Lau,not,(v)ɪkː,C,not:C
105,English,not,nɒt,A,not:A
106,Frisian,not,ne:,A,not:A
107,Dutch,not,nit,A,not:A
112,German,not,nɪçt,A,not:A
120,Latin,not,noːn,A,not:A
121,Catalan,not,no,A,not:A
122,Portuguese,not,nɐ̃ũ,A,not:A
123,Spanish,not,no,A,not:A
129,French,not,nɔ̃,A,not:A
138,Italian,not,"nɔ, non",A,not:A
142,Old Irish,not,nʹi:,A,not:A
143,Middle Cornish,not,nɪ,A,not:A
147,Middle Breton,not,ne ... ket,A,not:A
148,Middle Breton,not,"na, nac",A,not:A
149,Breton,not,ne ... ket,A,not:A
150,Breton,not,"na, nac ... ket",A,not:A
153,Irish,not,nʲiː,A,not:A
11,Ancient Greek,fly,pétomai̯,H,fly:H
13,Greek,fly,pe̞ˈto̞,H,fly:H
15,Classical Armenian,fly,tʰṙčʰim,H,fly:H
16,Armenian Eastern,fly,tʰərˈʧʰɛl,H,fly:H
31,Ossetic,fly,tæχɨn,C,fly:C
32,Ossetic Iron,fly,tɐχ-,C,fly:C
33,Ossetic Digor,fly,tɐχ-,C,fly:C
41,Assamese,fly,uru,D,fly:D
42,Oriya,fly,uɽ-,D,fly:D
44,Bihari,fly,urəb,D,fly:D
45,Magahi,fly,ʊɽənɑ,D,fly:D
48,Urdu,fly,ʔʊɽnə,D,fly:D
53,Marathi,fly,uɖ'ɳe,D,fly:D
57,Old Church Slavonic,fly,lɛtæti,G,fly:G
58,Serbo-Croatian,fly,ˈlɛ̌tjɛti,G,fly:G
59,Bulgarian,fly,lɘˈtʲɤ,G,fly:G
60,Macedonian,fly,ˈleta,G,fly:G
61,Russian,fly,lʲɛ'tʲɛtʲ,G,fly:G
62,Polish,fly,ˈletɕɛtɕ,G,fly:G
63,Belarusian,fly,lʲaˈtsʲɛtsʲ,G,fly:G
64,Ukrainian,fly,ɫɛˈtʲitɪ,G,fly:G
65,Slovak,fly,ˈlɛciɛc,G,fly:G
66,Czech,fly,ˈlɛcɛt,G,fly:G
67,Sorbian Upper,fly,ˈletʃɛtʃ,G,fly:G
68,Sorbian Lower,fly,ˈleɕeɕ,G,fly:G
69,Slovenian,fly,leˈtěːti,G,fly:G
76,Old Norse,fly,ˈfljuːɣa,A,fly:A
77,Icelandic,fly,ˈfljuːa,A,fly:A
78,Faroese,fly,ˈflɪɡ̊va,A,fly:A
79,Norwegian Riksmal,fly,"fɽyː, fly:",A,fly:A
80,Stavangersk,fly,ˈflỳːɡa,A,fly:A
81,Old Swedish,fly,ˈflyːɣa,A,fly:A
82,Swedish,fly,ˈflỳ:ga,A,fly:A
85,Elfdalian,fly,ˈfljʉ̀əgɑ,A,fly:A
86,Danish,fly,ˈfly:və,A,fly:A
87,Danish Fjolde,fly,flyw,A,fly:A
89,Gutnish Lau,fly,ˈflauɡɛ,A,fly:A
91,English,fly,flaɪ,A,fly:A
93,Dutch,fly,'vliɣə(n),A,fly:A
98,German,fly,'fli:gn̩,A,fly:A
103,Latin,fly,woˈlaːre,E,fly:E
105,Portuguese,fly,vuˈaɾ,E,fly:E
106,Spanish,fly,bo'laɾ,E,fly:E
112,French,fly,vɔle,E,fly:E
118,Italian,fly,vo'lare,E,fly:E
121,Old Irish,fly,"etʹəlʹlʹəðʹ, etʹələɣʹəðʹ",H/I,fly:H/I
122,Old Irish,fly,foˈlu:əθər,M,fly:M
123,Middle Cornish,fly,'nɛɪʤa,F,fly:F
124,Middle Breton,fly,ˈniːʒal,F,fly:F
125,Breton,fly,ˈniːʒal,F,fly:F
12,Ancient Greek,say,légɔː,I,say:I
16,Greek,say,ˈleo̞,I,say:I
19,Classical Armenian,say,asem,D,say:D
20,Armenian Eastern,say,ɑˈsɛl,D,say:D
36,Ossetic,say,dzurɨn,P,say:P
37,Ossetic Iron,say,žɐʁ-,P,say:P
38,Ossetic Digor,say,zɐʁ-,P,say:P
52,Oriya,say,kɔhiba,J,say:J
54,Bihari,say,kəhəb,J,say:J
