ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
507	Danish	fat	fed	f e d	166	f e d	c447 v200 c143	323	dani1285
508	Bulgarian	fat	məznina	m ə z n i n a	164	m ə z n i n a	c239 v155 c078 c105 v191 c105 v130	323	bulg1262
509	Greek	fat	lipos	l i p o s	168	l i p o s	c548 v191 c288 v042 c087	323	mode1248
510	Armenian	fat	ʧɑɾp	ʧ ɑ ɾ p	-161	tʃ ɑ ɾ p	c645 v089 c064 c288	323	nucl1235
511	Romanian	fat	grəsime	g r ə s i m e	160	g r ə s i m e	c824 c151 v155 c087 v191 c239 v200	323	roma1327
512	Russian	fat	ʒɨr	ʒ ɨ r	165	ʒ ɨ r	c679 v116 c151	323	russ1263
513	Polish	fat	twuʃʧ	t w u ʃ ʧ	167	t w u ʃ tʃ	c118 c457 v027 c677 c645	323	poli1260
514	Norwegian	fat	fet	f e t	-166	f e t	c447 v200 c118	323	norw1258
515	French	fat	ɡʁɛs	ɡ ʁ ɛ s	160	g ʁ ɛ s	c824 c733 v229 c087	323	stan1290
516	Czech	fat	tʊk	t ʊ k	162	t ʊ k	c118 v056 c831	323	czec1258
517	Icelandic	fat	fɪːta	f ɪː t a	166	f ɪː t a	c447 v221 c118 v130	323	icel1247
518	Italian	fat	ɡrasso	ɡ r a sː o	160	g r a sː o	c824 c151 v130 c070 v042	323	ital1282
519	Hindi	fat	ʧərbiː	ʧ ə r b iː	-169	tʃ ə r b iː	c645 v155 c151 c254 v183	323	hind1269
520	Portuguese	fat	gurdurɐ	g u r d u r ɐ	163	g u r d u r ɐ	c824 v027 c151 c143 v027 c151 v119	323	port1283
521	Spanish	fat	ɡoɾðo	ɡ o ɾ ð o	163	g o ɾ ð o	c824 v042 c064 c415 v042	323	stan1288
522	Czech	fat	saːdlo	s aː d l o	159	s aː d l o	c087 v137 c143 c548 v042	323	czec1258
523	Dutch	feather	veːr	v eː r	170	v eː r	c446 v202 c151	1201	dutc1256
524	Swedish	feather	fjɛːder	f j ɛː d e r	170	f j ɛː d e r	c447 c564 v225 c143 v200 c151	1201	swed1254
525	English	feather	fɛðər	f ɛ ð ə r	170	f ɛ ð ə r	c447 v229 c415 v155 c151	1201	stan1293
526	German	feather	feːdər	f eː d ə r	170	f eː d ə r	c447 v202 c143 v155 c151	1201	stan1295
527	Spanish	feather	pluma	p l u m a	172	p l u m a	c288 c548 v027 c239 v130	1201	stan1288
528	Danish	feather	fjeðˀʌ	f j e ðˀ ʌ	170	f j e ðˀ ʌ	c447 c564 v200 c839 v097	1201	dani1285
529	Bulgarian	feather	pɛrɔ	p ɛ r ɔ	174	p ɛ r ɔ	c288 v229 c151 v067	1201	bulg1262
530	Greek	feather	ftero	f t e r o	170	f t e r o	c447 c118 v200 c151 v042	1201	mode1248
531	Armenian	feather	pʰɛtuɾ	pʰ ɛ t u ɾ	-171	pʰ ɛ t u ɾ	c261 v229 c118 v027 c064	1201	nucl1235
532	Romanian	feather	panə	p a n ə	170	p a n ə	c288 v130 c105 v155	1201	roma1327
533	Russian	feather	pʲɪro	pʲ ɪ r o	174	pʲ ɪ r o	c270 v219 c151 v042	1201	russ1263
534	Polish	feather	pʲurɔ	pʲ u r ɔ	174	pʲ u r ɔ	c270 v027 c151 v067	1201	poli1260
535	Norwegian	feather	fjæːɾ	f j æː ɾ	170	f j æː ɾ	c447 c564 v199 c064	1201	norw1258
536	French	feather	plym	p l y m	172	p l y m	c288 c548 v166 c239	1201	stan1290
537	Czech	feather	pɛːro	p ɛː r o	174	p ɛː r o	c288 v225 c151 v042	1201	czec1258
538	Icelandic	feather	fjœːðʏr	f j œː ð ʏ r	170	f j œː ð ʏ r	c447 c564 v176 c415 v173 c151	1201	icel1247
539	Italian	feather	pjuma	p j u m a	172	p j u m a	c288 c564 v027 c239 v130	1201	ital1282
540	Hindi	feather	pə̃ŋkʰ	p ə̃ ŋ kʰ	173	p ə̃ ŋ kʰ	c288 v153 c795 c813	1201	hind1269
541	Portuguese	feather	penɐ	p e n ɐ	170	p e n ɐ	c288 v200 c105 v119	1201	port1283
542	Italian	feather	pɛnna	p ɛ nː a	170	p ɛ nː a	c288 v229 c104 v130	1201	ital1282
543	Dutch	fire	vyːr	v yː r	181	v yː r	c446 v168 c151	221	dutc1256
544	Swedish	fire	elːd	e lː d	176	e lː d	v200 c539 c143	221	swed1254
545	English	fire	faɪər	f a ɪ ə r	181	f a ɪ ə r	c447 v130 v219 v155 c151	221	stan1293
546	German	fire	fɔyər	f ɔ i ə r	181	f ɔ i ə r	c447 v067 v191 v155 c151	221	stan1295
547	Spanish	fire	fweɣo	f w e ɣ o	179	f w e ɣ o	c447 c457 v200 c774 v042	221	stan1288
548	Danish	fire	ilˀ	i lˀ	176	i lˀ	v191 c550	221	dani1285
549	Bulgarian	fire	ɔɡən	ɔ ɡ ə n	178	ɔ g ə n	v067 c824 v155 c105	221	bulg1262
550	Greek	fire	fotça	f o t ç a	175	f o t ç a	c447 v042 c118 c577 v130	221	mode1248
551	Armenian	fire	kəɾɑk	k ə ɾ ɑ k	180	k ə ɾ ɑ k	c831 v155 c064 v089 c831	221	nucl1235
552	Romanian	fire	fok	f o k	179	f o k	c447 v042 c831	221	roma1327
553	Russian	fire	ɐɡonʲ	ɐ ɡ o nʲ	178	ɐ g o nʲ	v119 c824 v042 c099	221	russ1263
554	Polish	fire	ɔɡʲɛnʲ	ɔ ɡʲ ɛ nʲ	178	ɔ gʲ ɛ nʲ	v067 c812 v229 c099	221	poli1260
555	Norwegian	fire	ʋɑɾmə	ʋ ɑ ɾ m ə	177	ʋ ɑ ɾ m ə	c424 v089 c064 c239 v155	221	norw1258
556	French	fire	fø	f ø	179	f ø	c447 v171	221	stan1290
557	Czech	fire	oɦɛnʲ	o ɦ ɛ nʲ	178	o ɦ ɛ nʲ	v042 c397 v229 c099	221	czec1258
558	Icelandic	fire	ɛltʏr	ɛ l t ʏ r	176	ɛ l t ʏ r	v229 c548 c118 v173 c151	221	icel1247
559	Italian	fire	fwɔko	f w ɔ k o	179	f w ɔ k o	c447 c457 v067 c831 v042	221	ital1282
560	Hindi	fire	aːg	aː g	178	aː g	v137 c824	221	hind1269
561	Portuguese	fire	fogu	f o g u	179	f o g u	c447 v042 c824 v027	221	port1283
562	Norwegian	fire	il	i l	176	i l	v191 c548	221	norw1258
563	Dutch	fish	vɪs	v ɪ s	182	v ɪ s	c446 v219 c087	227	dutc1256
564	Swedish	fish	fisːk	f i sː k	182	f i sː k	c447 v191 c070 c831	227	swed1254
565	English	fish	fɪʃ	f ɪ ʃ	182	f ɪ ʃ	c447 v219 c677	227	stan1293
566	German	fish	fɪʃ	f ɪ ʃ	182	f ɪ ʃ	c447 v219 c677	227	stan1295
567	Spanish	fish	peskaðo	p e s k a ð o	182	p e s k a ð o	c288 v200 c087 c831 v130 c415 v042	227	stan1288
568	Danish	fish	fesg	f e s g	182	f e s g	c447 v200 c087 c824	227	dani1285
569	Bulgarian	fish	ribə	r i b ə	184	r i b ə	c151 v191 c254 v155	227	bulg1262
570	Greek	fish	p͡sari	p͡s a r i	185	ps a r i	c291 v130 c151 v191	227	mode1248
571	Armenian	fish	ʣuk	ʣ u k	183	dz u k	c020 v027 c831	227	nucl1235
572	Romanian	fish	peʃte	p e ʃ t e	182	p e ʃ t e	c288 v200 c677 c118 v200	227	roma1327
573	Russian	fish	rɨbə	r ɨ b ə	184	r ɨ b ə	c151 v116 c254 v155	227	russ1263
574	Polish	fish	rɨba	r ɨ b a	184	r ɨ b a	c151 v116 c254 v130	227	poli1260
575	Norwegian	fish	fisk	f i s k	182	f i s k	c447 v191 c087 c831	227	norw1258
576	French	fish	pwasõ	p w a s õ	182	p w a s õ	c288 c457 v130 c087 v038	227	stan1290
577	Czech	fish	rɪba	r ɪ b a	184	r ɪ b a	c151 v219 c254 v130	227	czec1258
578	Icelandic	fish	fɪskʏr	f ɪ s k ʏ r	182	f ɪ s k ʏ r	c447 v219 c087 c831 v173 c151	227	icel1247
579	Italian	fish	peʃʃe	p e ʃː e	182	p e ʃː e	c288 v200 c672 v200	227	ital1282
580	Hindi	fish	məʧliː	m ə ʧ l iː	186	m ə tʃ l iː	c239 v155 c645 c548 v183	227	hind1269
581	Portuguese	fish	pɐjʃə	p ɐ j ʃ ə	182	p ɐ j ʃ ə	c288 v119 c564 c677 v155	227	port1283
582	Dutch	fly	vliːɣə	v l iː ɣ ə	190	v l iː ɣ ə	c446 c548 v183 c774 v155	1441	dutc1256
583	Swedish	fly	flʉga	f l ʉ g a	190	f l ʉ g a	c447 c548 v102 c824 v130	1441	swed1254
584	English	fly	flaɪ	f l aɪ	190	f l aɪ	c447 c548 d032	1441	stan1293
585	German	fly	fliːɡən	f l iː ɡ ə n	190	f l iː g ə n	c447 c548 v183 c824 v155 c105	1441	stan1295
586	Spanish	fly	bolaɾ	b o l a ɾ	187	b o l a ɾ	c254 v042 c548 v130 c064	1441	stan1288
587	Danish	fly	flyːvə	f l yː v ə	190	f l yː v ə	c447 c548 v168 c446 v155	1441	dani1285
588	Bulgarian	fly	lɛtʲə	l ɛ tʲ ə	188	l ɛ tʲ ə	c548 v229 c113 v155	1441	bulg1262
589	Greek	fly	peto	p e t o	191	p e t o	c288 v200 c118 v042	1441	mode1248
590	Armenian	fly	tʰərʧʰɛl	tʰ ə r ʧʰ ɛ l	191	tʰ ə r tʃʰ ɛ l	c136 v155 c151 c655 v229 c548	1441	nucl1235
591	Romanian	fly	zbura	z b u r a	187	z b u r a	c078 c254 v027 c151 v130	1441	roma1327
592	Russian	fly	lʲɪtʲetʲ	lʲ ɪ tʲ e tʲ	188	lʲ ɪ tʲ e tʲ	c540 v219 c113 v200 c113	1441	russ1263
593	Polish	fly	lataʨ	l a t a ʨ	188	l a t a tɕ	c548 v130 c118 v130 c198	1441	poli1260
594	Norwegian	fly	flyː	f l yː	190	f l yː	c447 c548 v168	1441	norw1258
595	French	fly	vɔle	v ɔ l e	187	v ɔ l e	c446 v067 c548 v200	1441	stan1290
596	Czech	fly	lɛːtat	l ɛː t a t	188	l ɛː t a t	c548 v225 c118 v130 c118	1441	czec1258
597	Icelandic	fly	fljuːa	f l j uː a	190	f l j uː a	c447 c548 c564 v019 v130	1441	icel1247
598	Italian	fly	volare	v o l a r e	187	v o l a r e	c446 v042 c548 v130 c151 v200	1441	ital1282
599	Hindi	fly	ʊɽnaː	ʊ ɽ n aː	189	ʊ ɽ n aː	v056 c697 c105 v137	1441	hind1269
600	Portuguese	fly	vwar	v w a r	187	v w a r	c446 c457 v130 c151	1441	port1283
601	Dutch	foot	vuːt	v uː t	194	v uː t	c446 v019 c118	1301	dutc1256
602	Swedish	foot	foːt	f oː t	194	f oː t	c447 v035 c118	1301	swed1254
603	English	foot	fʊt	f ʊ t	194	f ʊ t	c447 v056 c118	1301	stan1293
604	German	foot	fuːs	f uː s	194	f uː s	c447 v019 c087	1301	stan1295
605	Spanish	foot	pje	p j e	194	p j e	c288 c564 v200	1301	stan1288
606	Danish	foot	foˀð	f oˀ ð	194	f oˀ ð	c447 v048 c415	1301	dani1285
607	Bulgarian	foot	krak	k r a k	193	k r a k	c831 c151 v130 c831	1301	bulg1262
608	Greek	foot	poði	p o ð i	194	p o ð i	c288 v042 c415 v191	1301	mode1248
609	Armenian	foot	votkʰ	v o t kʰ	194	v o t kʰ	c446 v042 c118 c813	1301	nucl1235
610	Romanian	foot	piʧjor	p i ʧ j o r	194	p i tʃ j o r	c288 v191 c645 c564 v042 c151	1301	roma1327
611	Russian	foot	nɐɡa	n ɐ ɡ a	192	n ɐ g a	c105 v119 c824 v130	1301	russ1263
612	Polish	foot	nɔɡa	n ɔ ɡ a	192	n ɔ g a	c105 v067 c824 v130	1301	poli1260
613	Norwegian	foot	fuːt	f uː t	194	f uː t	c447 v019 c118	1301	norw1258
614	French	foot	pje	p j e	194	p j e	c288 c564 v200	1301	stan1290
615	Czech	foot	noɦa	n o ɦ a	192	n o ɦ a	c105 v042 c397 v130	1301	czec1258
616	Icelandic	foot	fouːtʏr	f o uː t ʏ r	194	f o uː t ʏ r	c447 v042 v019 c118 v173 c151	1301	icel1247
617	Italian	foot	pjɛde	p j ɛ d e	194	p j ɛ d e	c288 c564 v229 c143 v200	1301	ital1282
618	Hindi	foot	pɛːr	p ɛː r	194	p ɛː r	c288 v225 c151	1301	hind1269
619	Portuguese	foot	pɛ	p ɛ	194	p ɛ	c288 v229	1301	port1283
620	Dutch	full	vɔl	v ɔ l	196	v ɔ l	c446 v067 c548	1429	dutc1256
621	Swedish	full	fulː	f u lː	196	f u lː	c447 v027 c539	1429	swed1254
622	English	full	fʊl	f ʊ l	196	f ʊ l	c447 v056 c548	1429	stan1293
623	German	full	fɔl	f ɔ l	196	f ɔ l	c447 v067 c548	1429	stan1295
624	Spanish	full	ʎeno	ʎ e n o	196	ʎ e n o	c582 v200 c105 v042	1429	stan1288
625	Danish	full	fulˀ	f u lˀ	196	f u lˀ	c447 v027 c550	1429	dani1285
626	Bulgarian	full	pɤlɛn	p ɤ l ɛ n	196	p ɤ l ɛ n	c288 v084 c548 v229 c105	1429	bulg1262
627	Greek	full	ʝematos	ʝ e m a t o s	195	ʝ e m a t o s	c574 v200 c239 v130 c118 v042 c087	1429	mode1248
628	Armenian	full	likʰə	l i kʰ ə	196	l i kʰ ə	c548 v191 c813 v155	1429	nucl1235
629	Romanian	full	plin	p l i n	196	p l i n	c288 c548 v191 c105	1429	roma1327
630	Russian	full	polnɨj	p o l n ɨ j	196	p o l n ɨ j	c288 v042 c548 c105 v116 c564	1429	russ1263
631	Polish	full	pɛwnɨ	p ɛ w n ɨ	196	p ɛ w n ɨ	c288 v229 c457 c105 v116	1429	poli1260
632	Norwegian	full	fʉl	f ʉ l	196	f ʉ l	c447 v102 c548	1429	norw1258
633	French	full	plɛ̃	p l ɛ̃	196	p l ɛ̃	c288 c548 v231	1429	stan1290
634	Czech	full	pl̩niː	p l̩ n iː	196	p l̩ n iː	c288 c537 c105 v183	1429	czec1258
635	Icelandic	full	fʏt͡lʏr	f ʏ t͡l ʏ r	196	f ʏ tl ʏ r	c447 v173 c559 v173 c151	1429	icel1247
636	Italian	full	pjɛno	p j ɛ n o	196	p j ɛ n o	c288 c564 v229 c105 v042	1429	ital1282
637	Hindi	full	puːraː	p uː r aː	196	p uː r aː	c288 v019 c151 v137	1429	hind1269
638	Portuguese	full	ʃɐju	ʃ ɐ j u	196	ʃ ɐ j u	c677 v119 c564 v027	1429	port1283
639	Dutch	give	xeːvə	x eː v ə	197	x eː v ə	c772 v202 c446 v155	1447	dutc1256
640	Swedish	give	jiːva	j iː v a	197	j iː v a	c564 v183 c446 v130	1447	swed1254
641	English	give	ɡɪv	ɡ ɪ v	197	g ɪ v	c824 v219 c446	1447	stan1293
642	German	give	ɡeːbən	ɡ eː b ə n	197	g eː b ə n	c824 v202 c254 v155 c105	1447	stan1295
643	Spanish	give	daɾ	d a ɾ	198	d a ɾ	c143 v130 c064	1447	stan1288
644	Danish	give	giˀ	g iˀ	197	g iˀ	c824 v190	1447	dani1285
645	Bulgarian	give	davəm	d a v ə m	198	d a v ə m	c143 v130 c446 v155 c239	1447	bulg1262
646	Greek	give	ðino	ð i n o	198	ð i n o	c415 v191 c105 v042	1447	mode1248
647	Armenian	give	tɑl	t ɑ l	198	t ɑ l	c118 v089 c548	1447	nucl1235
648	Romanian	give	da	d a	198	d a	c143 v130	1447	roma1327
649	Russian	give	datʲ	d a tʲ	198	d a tʲ	c143 v130 c113	1447	russ1263
650	Polish	give	davaʨ	d a v a ʨ	198	d a v a tɕ	c143 v130 c446 v130 c198	1447	poli1260
651	Norwegian	give	jiː	j iː	197	j iː	c564 v183	1447	norw1258
652	French	give	dɔne	d ɔ n e	198	d ɔ n e	c143 v067 c105 v200	1447	stan1290
653	Czech	give	daːt	d aː t	198	d aː t	c143 v137 c118	1447	czec1258
654	Icelandic	give	cɛːva	c ɛː v a	197	c ɛː v a	c600 v225 c446 v130	1447	icel1247
655	Italian	give	dare	d a r e	198	d a r e	c143 v130 c151 v200	1447	ital1282
656	Hindi	give	deːnaː	d eː n aː	198	d eː n aː	c143 v202 c105 v137	1447	hind1269
657	Portuguese	give	dar	d a r	198	d a r	c143 v130 c151	1447	port1283
658	Dutch	good	xuːt	x uː t	205	x uː t	c772 v019 c118	1035	dutc1256
659	Swedish	good	guːd	g uː d	205	g uː d	c824 v019 c143	1035	swed1254
660	English	good	ɡʊd	ɡ ʊ d	205	g ʊ d	c824 v056 c143	1035	stan1293
661	German	good	ɡuːt	ɡ uː t	205	g uː t	c824 v019 c118	1035	stan1295
662	Spanish	good	bweno	b w e n o	200	b w e n o	c254 c457 v200 c105 v042	1035	stan1288
663	Danish	good	goˀ	g oˀ	205	g oˀ	c824 v048	1035	dani1285
664	Bulgarian	good	dobɤr	d o b ɤ r	204	d o b ɤ r	c143 v042 c254 v084 c151	1035	bulg1262
665	Greek	good	kalos	k a l o s	199	k a l o s	c831 v130 c548 v042 c087	1035	mode1248
666	Armenian	good	lɑv	l ɑ v	202	l ɑ v	c548 v089 c446	1035	nucl1235
667	Romanian	good	bun	b u n	200	b u n	c254 v027 c105	1035	roma1327
668	Russian	good	xɐroʃɨj	x ɐ r o ʃ ɨ j	201	x ɐ r o ʃ ɨ j	c772 v119 c151 v042 c677 v116 c564	1035	russ1263
669	Polish	good	dɔbrɨ	d ɔ b r ɨ	204	d ɔ b r ɨ	c143 v067 c254 c151 v116	1035	poli1260
670	Norwegian	good	guː	g uː	205	g uː	c824 v019	1035	norw1258
671	French	good	bɔ̃	b ɔ̃	200	b ɔ̃	c254 v066	1035	stan1290
672	Czech	good	dobriː	d o b r iː	204	d o b r iː	c143 v042 c254 c151 v183	1035	czec1258
673	Icelandic	good	kouːðʏr	k o uː ð ʏ r	205	k o uː ð ʏ r	c831 v042 v019 c415 v173 c151	1035	icel1247
674	Italian	good	bwɔno	b w ɔ n o	200	b w ɔ n o	c254 c457 v067 c105 v042	1035	ital1282
675	Hindi	good	əʧʧʰaː	ə ʧːʰ aː	203	ə tʃːʰ aː	v155 c845 v137	1035	hind1269
676	Portuguese	good	bõ	b õ	200	b õ	c254 v038	1035	port1283
677	Dutch	green	xruːn	x r uː n	209	x r uː n	c772 c151 v019 c105	1425	dutc1256
678	Swedish	green	grøːn	g r øː n	209	g r øː n	c824 c151 v169 c105	1425	swed1254
679	English	green	ɡriːn	ɡ r iː n	209	g r iː n	c824 c151 v183 c105	1425	stan1293
680	German	green	ɡryːn	ɡ r yː n	209	g r yː n	c824 c151 v168 c105	1425	stan1295
681	Spanish	green	beɾðe	b e ɾ ð e	208	b e ɾ ð e	c254 v200 c064 c415 v200	1425	stan1288
682	Danish	green	gʁɶnˀ	g ʁ ɶ nˀ	209	g ʁ ɶ nˀ	c824 c733 v241 c094	1425	dani1285
683	Bulgarian	green	zɛlɛn	z ɛ l ɛ n	207	z ɛ l ɛ n	c078 v229 c548 v229 c105	1425	bulg1262
684	Greek	green	prasinos	p r a s i n o s	210	p r a s i n o s	c288 c151 v130 c087 v191 c105 v042 c087	1425	mode1248
685	Armenian	green	kɑnɑʧʰ	k ɑ n ɑ ʧʰ	-206	k ɑ n ɑ tʃʰ	c831 v089 c105 v089 c655	1425	nucl1235
686	Romanian	green	verde	v e r d e	208	v e r d e	c446 v200 c151 c143 v200	1425	roma1327
687	Russian	green	zʲɪlʲonɨj	zʲ ɪ lʲ o n ɨ j	207	zʲ ɪ lʲ o n ɨ j	c082 v219 c540 v042 c105 v116 c564	1425	russ1263
688	Polish	green	ʑɛlɔnɨ	ʑ ɛ l ɔ n ɨ	207	ʑ ɛ l ɔ n ɨ	c201 v229 c548 v067 c105 v116	1425	poli1260
689	Norwegian	green	gɾœn	g ɾ œ n	209	g ɾ œ n	c824 c064 v178 c105	1425	norw1258
690	French	green	vɛʁ	v ɛ ʁ	208	v ɛ ʁ	c446 v229 c733	1425	stan1290
691	Czech	green	zɛlɛniː	z ɛ l ɛ n iː	207	z ɛ l ɛ n iː	c078 v229 c548 v229 c105 v183	1425	czec1258
692	Icelandic	green	krait͡n	k r ai t͡n	209	k r ai n̥	c831 c151 d030 c093	1425	icel1247
693	Italian	green	verde	v e r d e	208	v e r d e	c446 v200 c151 c143 v200	1425	ital1282
694	Hindi	green	ɦəraː	ɦ ə r aː	207	ɦ ə r aː	c397 v155 c151 v137	1425	hind1269
695	Portuguese	green	verdə	v e r d ə	208	v e r d ə	c446 v200 c151 c143 v155	1425	port1283
696	Dutch	hair	haːr	h aː r	217	h aː r	c401 v137 c151	1040	dutc1256
697	Swedish	hair	hoːr	h oː r	217	h oː r	c401 v035 c151	1040	swed1254
698	English	hair	hɛər	h ɛ ə r	217	h ɛ ə r	c401 v229 v155 c151	1040	stan1293
699	German	hair	haːr	h aː r	217	h aː r	c401 v137 c151	1040	stan1295
700	Spanish	hair	kaβeʎo	k a β e ʎ o	216	k a β e ʎ o	c831 v130 c225 v200 c582 v042	1040	stan1288
701	Danish	hair	hɒˀ	h ɒˀ	217	h ɒˀ	c401 v249	1040	dani1285
702	Bulgarian	hair	kɔsəm	k ɔ s ə m	215	k ɔ s ə m	c831 v067 c087 v155 c239	1040	bulg1262
703	Greek	hair	trixa	t r i x a	214	t r i x a	c118 c151 v191 c772 v130	1040	mode1248
704	Armenian	hair	mɑz	m ɑ z	-211	m ɑ z	c239 v089 c078	1040	nucl1235
705	Romanian	hair	pər	p ə r	213	p ə r	c288 v155 c151	1040	roma1327
706	Russian	hair	voləsɨ	v o l ə s ɨ	212	v o l ə s ɨ	c446 v042 c548 v155 c087 v116	1040	russ1263
707	Polish	hair	vwɔsɨ	v w ɔ s ɨ	212	v w ɔ s ɨ	c446 c457 v067 c087 v116	1040	poli1260
708	Norwegian	hair	hoːɾ	h oː ɾ	217	h oː ɾ	c401 v035 c064	1040	norw1258
709	French	hair	ʃəvø	ʃ ə v ø	216	ʃ ə v ø	c677 v155 c446 v171	1040	stan1290
710	Czech	hair	vlasɪ	v l a s ɪ	212	v l a s ɪ	c446 c548 v130 c087 v219	1040	czec1258
711	Icelandic	hair	hauːr	h a uː r	217	h a uː r	c401 v130 v019 c151	1040	icel1247
712	Italian	hair	kapello	k a p e lː o	216	k a p e lː o	c831 v130 c288 v200 c539 v042	1040	ital1282
713	Hindi	hair	baːl	b aː l	212	b aː l	c254 v137 c548	1040	hind1269
714	Portuguese	hair	kɐbelu	k ɐ b e l u	216	k ɐ b e l u	c831 v119 c254 v200 c548 v027	1040	port1283
715	Dutch	hand	hɑnt	h ɑ n t	218	h ɑ n t	c401 v089 c105 c118	1277	dutc1256
716	Swedish	hand	hanːd	h a nː d	218	h a nː d	c401 v130 c104 c143	1277	swed1254
717	English	hand	hænd	h æ n d	218	h æ n d	c401 v198 c105 c143	1277	stan1293
718	German	hand	hant	h a n t	218	h a n t	c401 v130 c105 c118	1277	stan1295
719	Spanish	hand	mano	m a n o	221	m a n o	c239 v130 c105 v042	1277	stan1288
720	Danish	hand	hʌnˀ	h ʌ nˀ	218	h ʌ nˀ	c401 v097 c094	1277	dani1285
721	Bulgarian	hand	rəka	r ə k a	220	r ə k a	c151 v155 c831 v130	1277	bulg1262
722	Greek	hand	çeri	ç e r i	219	ç e r i	c577 v200 c151 v191	1277	mode1248
723	Armenian	hand	ʣɛrkʰ	ʣ ɛ r kʰ	219	dz ɛ r kʰ	c020 v229 c151 c813	1277	nucl1235
724	Romanian	hand	mɨnə	m ɨ n ə	221	m ɨ n ə	c239 v116 c105 v155	1277	roma1327
725	Russian	hand	ruka	r u k a	220	r u k a	c151 v027 c831 v130	1277	russ1263
726	Polish	hand	rɛ̃ka	r ɛ̃ k a	220	r ɛ̃ k a	c151 v231 c831 v130	1277	poli1260
727	Norwegian	hand	hɔn	h ɔ n	-218	h ɔ n	c401 v067 c105	1277	norw1258
728	French	hand	mɛ̃	m ɛ̃	221	m ɛ̃	c239 v231	1277	stan1290
729	Czech	hand	rʊka	r ʊ k a	220	r ʊ k a	c151 v056 c831 v130	1277	czec1258
730	Icelandic	hand	hœnt	h œ n t	218	h œ n t	c401 v178 c105 c118	1277	icel1247
731	Italian	hand	mano	m a n o	221	m a n o	c239 v130 c105 v042	1277	ital1282
732	Hindi	hand	haːtʰ	h aː tʰ	219	h aː tʰ	c401 v137 c136	1277	hind1269
733	Portuguese	hand	mɐ̃w	m ɐ̃ w	221	m ɐ̃ w	c239 v120 c457	1277	port1283
734	Dutch	head	hoːft	h oː f t	223	h oː f t	c401 v035 c447 c118	1256	dutc1256
735	Swedish	head	huːvud	h uː v u d	223	h uː v u d	c401 v019 c446 v027 c143	1256	swed1254
736	English	head	hɛd	h ɛ d	223	h ɛ d	c401 v229 c143	1256	stan1293
737	German	head	kɔp͡f	k ɔ p͡f	-224	k ɔ pf	c831 v067 c420	1256	stan1295
738	Spanish	head	kaβeθa	k a β e θ a	227	k a β e θ a	c831 v130 c225 v200 c413 v130	1256	stan1288
739	Danish	head	hoːəð	h oː ə ð	223	h oː ə ð	c401 v035 v155 c415	1256	dani1285
740	Bulgarian	head	ɡləva	ɡ l ə v a	228	g l ə v a	c824 c548 v155 c446 v130	1256	bulg1262
741	Greek	head	cefali	c e f a l i	225	c e f a l i	c600 v200 c447 v130 c548 v191	1256	mode1248
742	Armenian	head	gəluχ	g ə l u χ	228	g ə l u χ	c824 v155 c548 v027 c742	1256	nucl1235
743	Romanian	head	kap	k a p	227	k a p	c831 v130 c288	1256	roma1327
744	Russian	head	ɡəlɐva	ɡ ə l ɐ v a	228	g ə l ɐ v a	c824 v155 c548 v119 c446 v130	1256	russ1263
745	Polish	head	ɡwɔva	ɡ w ɔ v a	228	g w ɔ v a	c824 c457 v067 c446 v130	1256	poli1260
746	Norwegian	head	huːdə	h uː d ə	223	h uː d ə	c401 v019 c143 v155	1256	norw1258
747	French	head	tɛt	t ɛ t	222	t ɛ t	c118 v229 c118	1256	stan1290
748	Czech	head	ɦlava	ɦ l a v a	228	ɦ l a v a	c397 c548 v130 c446 v130	1256	czec1258
749	Icelandic	head	hœvʏð	h œ v ʏ ð	223	h œ v ʏ ð	c401 v178 c446 v173 c415	1256	icel1247
750	Italian	head	tɛsta	t ɛ s t a	222	t ɛ s t a	c118 v229 c087 c118 v130	1256	ital1282
751	Hindi	head	sər	s ə r	226	s ə r	c087 v155 c151	1256	hind1269
752	Portuguese	head	kɐbesɐ	k ɐ b e s ɐ	227	k ɐ b e s ɐ	c831 v119 c254 v200 c087 v119	1256	port1283
753	Dutch	hear	hoːrə	h oː r ə	230	h oː r ə	c401 v035 c151 v155	1408	dutc1256
754	Swedish	hear	høːra	h øː r a	230	h øː r a	c401 v169 c151 v130	1408	swed1254
755	English	hear	hɪər	h ɪ ə r	230	h ɪ ə r	c401 v219 v155 c151	1408	stan1293
756	German	hear	høːrən	h øː r ə n	230	h øː r ə n	c401 v169 c151 v155 c105	1408	stan1295
757	Spanish	hear	o.ir	o i r	229	o i r	v042 v191 c151	1408	stan1288
758	Danish	hear	høːʌ	h øː ʌ	230	h øː ʌ	c401 v169 v097	1408	dani1285
759	Bulgarian	hear	ʧuvəm	ʧ u v ə m	230	tʃ u v ə m	c645 v027 c446 v155 c239	1408	bulg1262
760	Greek	hear	akuo	a k uo	230	a k uo	v130 c831 d003	1408	mode1248
761	Armenian	hear	ləsɛl	l ə s ɛ l	231	l ə s ɛ l	c548 v155 c087 v229 c548	1408	nucl1235
762	Romanian	hear	awzi	a w z i	229	a w z i	v130 c457 c078 v191	1408	roma1327
763	Russian	hear	sluʃatʲ	s l u ʃ a tʲ	231	s l u ʃ a tʲ	c087 c548 v027 c677 v130 c113	1408	russ1263
