ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
249	German	dust	Staub	ʃtaub	ʃ t au b	1118	ʃ t au b	c677 c118 d026 c254	2	stan1295
250	Hawaiian	dust	`ehu	ʔehu	ʔ e h u	1124	ʔ e h u	c405 v200 c401 v027	2	hawa1245
251	Navajo	dust	ƚeezh	ɬeːʒ	ɬ eː ʒ	1123	ɬ eː ʒ	c534 v202 c679	2	nava1243
252	Turkish	dust	toz	toz	t o z	1121	t o z	c118 v042 c078	2	nucl1301
253	Albanian	ear	vesh	veʃ	v e ʃ	438	v e ʃ	c446 v200 c677	1247	gheg1238
254	English	ear	ear	ɪr	ɪ r	438	ɪ r	v219 c151	1247	stan1293
255	French	ear	oreille	ɔrɛj	ɔ r ɛ j	438	ɔ r ɛ j	v067 c151 v229 c564	1247	stan1290
256	German	ear	Ohr	oːr	oː r	438	oː r	v035 c151	1247	stan1295
257	Hawaiian	ear	pepeiao	pepeiao	p e p e i a o	441	p e p e i a o	c288 v200 c288 v200 v191 v130 v042	1247	hawa1245
258	Navajo	ear	'ajaa'	ʤaːʔ	ʤ aː ʔ	440	dʒ aː ʔ	c649 v137 c405	1247	nava1243
259	Turkish	ear	kulak	kulak	k u l a k	439	k u l a k	c831 v027 c548 v130 c831	1247	nucl1301
260	Albanian	earth	dhe	ðer	ð e r	69	ð e r	c415 v200 c151	1228	gheg1238
261	English	earth	earth	ərθ	ə r θ	66	ə r θ	v155 c151 c413	1228	stan1293
262	French	earth	terre	tɛr	t ɛ r	67	t ɛ r	c118 v229 c151	1228	stan1290
263	German	earth	Erde	eːrdə	eː r d ə	66	eː r d ə	v202 c151 c143 v155	1228	stan1295
264	Hawaiian	earth	lepo	lepo	l e p o	71	l e p o	c548 v200 c288 v042	1228	hawa1245
265	Navajo	earth	ƚeezh	ɬeːʒ	ɬ eː ʒ	70	ɬ eː ʒ	c534 v202 c679	1228	nava1243
266	Turkish	earth	toprak	toprak	t o p r a k	68	t o p r a k	c118 v042 c288 c151 v130 c831	1228	nucl1301
267	Albanian	eat	ha	ha	h a	119	h a	c401 v130	1336	gheg1238
268	English	eat	eats	it	i t	116	i t	v191 c118	1336	stan1293
269	French	eat	mange	mɑ̃ʒe	m ɑ̃ ʒ e	117	m ɑ̃ ʒ e	c239 v088 c679 v200	1336	stan1290
270	German	eat	ißt	es	e s	116	e s	v200 c087	1336	stan1295
271	Hawaiian	eat	`ai	ʔai	ʔ a i	121	ʔ a i	c405 v130 v191	1336	hawa1245
272	Navajo	eat	'ayą́	ʔajã́	ʔ a j ã́	120	ʔ a j ã	c405 v130 c564 v147	1336	nava1243
273	Turkish	eat	yiyor	je	j e	118	j e	c564 v200	1336	nucl1301
274	Albanian	egg	vezë	vez	v e z	1222	v e z	c446 v200 c078	744	gheg1238
275	English	egg	egg	ɛg	ɛ g	-1222	ɛ g	v229 c824	744	stan1293
276	French	egg	œuf	œf	œ f	1222	œ f	v178 c447	744	stan1290
277	German	egg	Ei	ai	ai	1222	ai	d030	744	stan1295
278	Hawaiian	egg	hua	hua	h u a	1225	h u a	c401 v027 v130	744	hawa1245
279	Navajo	egg	'ayęęzhii	jẽːʒiː	j ẽː ʒ iː	1224	j ẽː ʒ iː	c564 v207 c679 v183	744	nava1243
280	Turkish	egg	yumurta	jumurta	j u m u r t a	1223	j u m u r t a	c564 v027 c239 v027 c151 c118 v130	744	nucl1301
281	Albanian	eye	sy	syr	s y r	708	s y r	c087 v166 c151	1248	gheg1238
282	English	eye	eye	ai	ai	706	ai	d030	1248	stan1293
283	French	eye	œil	œj	œ j	706	œ j	v178 c564	1248	stan1290
284	German	eye	Auge	augə	au g ə	706	au g ə	d026 c824 v155	1248	stan1295
285	Hawaiian	eye	maka	maka	m a k a	710	m a k a	c239 v130 c831 v130	1248	hawa1245
286	Navajo	eye	'anáá'	naːʔ	n aː ʔ	709	n aː ʔ	c105 v137 c405	1248	nava1243
287	Turkish	eye	göz	gøz	g ø z	707	g ø z	c824 v171 c078	1248	nucl1301
288	Albanian	fall	bie	bie	b i e	223	b i e	c254 v191 v200	1280	gheg1238
289	English	fall	falls	fɔl	f ɔ l	220	f ɔ l	c447 v067 c548	1280	stan1293
290	French	fall	tombe	tɔ̃be	t ɔ̃ b e	-221	t ɔ̃ b e	c118 v066 c254 v200	1280	stan1290
291	German	fall	fällt	fal	f a l	220	f a l	c447 v130 c548	1280	stan1295
292	Hawaiian	fall	hina	hina	h i n a	226	h i n a	c401 v191 c105 v130	1280	hawa1245
293	Navajo	fall	naashtƚíísh	naːtˡiːʃ	n aː tˡ iː ʃ	224	n aː tˡ iː ʃ	c105 v137 c119 v183 c677	1280	nava1243
294	Turkish	fall	düşüyor	dyʃ	d y ʃ	222	d y ʃ	c143 v166 c677	1280	nucl1301
295	Albanian	far	larg	larg	l a r g	-191	l a r g	c548 v130 c151 c824	1406	gheg1238
296	English	far	far	fɑr	f ɑ r	188	f ɑ r	c447 v089 c151	1406	stan1293
297	French	far	loin	lwɛ̃	l w ɛ̃	189	l w ɛ̃	c548 c457 v231	1406	stan1290
298	German	far	fern	fern	f e r n	188	f e r n	c447 v200 c151 c105	1406	stan1295
299	Hawaiian	far	mamao	mamao	m a m a o	193	m a m a o	c239 v130 c239 v130 v042	1406	hawa1245
300	Navajo	far	nízahgóó	nizah	n i z a h	192	n i z a h	c105 v191 c078 v130 c401	1406	nava1243
301	Turkish	far	uzak	uzak	u z a k	190	u z a k	v027 c078 v130 c831	1406	nucl1301
302	Albanian	father	babë	babə	b a b ə	-107	b a b ə	c254 v130 c254 v155	1217	gheg1238
303	English	father	father	fɑðər	f ɑ ð ə r	106	f ɑ ð ə r	c447 v089 c415 v155 c151	1217	stan1293
304	French	father	père	pɛr	p ɛ r	106	p ɛ r	c288 v229 c151	1217	stan1290
305	German	father	Vater	faːtər	f aː t ə r	106	f aː t ə r	c447 v137 c118 v155 c151	1217	stan1295
306	Hawaiian	father	makua kāne	makuakaːne	m a k u a k aː n e	109	m a k u a k aː n e	c239 v130 c831 v027 v130 c831 v137 c105 v200	1217	hawa1245
307	Navajo	father	'ataa'	taːʔ	t aː ʔ	108	t aː ʔ	c118 v137 c405	1217	nava1243
308	Turkish	father	baba	baba	b a b a	107	b a b a	c254 v130 c254 v130	1217	nucl1301
309	Albanian	feather	pendë	pend	p e n d	748	p e n d	c288 v200 c105 c143	1201	gheg1238
310	English	feather	feather	fɛðər	f ɛ ð ə r	745	f ɛ ð ə r	c447 v229 c415 v155 c151	1201	stan1293
311	French	feather	plume	plym	p l y m	746	p l y m	c288 c548 v166 c239	1201	stan1290
312	German	feather	Feder	feːdər	f eː d ə r	745	f eː d ə r	c447 v202 c143 v155 c151	1201	stan1295
313	Hawaiian	feather	hulu	hulu	h u l u	750	h u l u	c401 v027 c548 v027	1201	hawa1245
314	Navajo	feather	'at'a'	tˀaʔ	tˀ a ʔ	749	tˀ a ʔ	c840 v130 c405	1201	nava1243
315	Turkish	feather	tüy	tyj	t y j	747	t y j	c118 v166 c564	1201	nucl1301
316	Albanian	few	pak	pak	p a k	-741	p a k	c288 v130 c831	1242	gheg1238
317	English	few	few	fju	f j u	741	f j u	c447 c564 v027	1242	stan1293
318	French	few	peu de	pø	p ø	741	p ø	c288 v171	1242	stan1290
319	German	few	wenige	veːnig	v eː n i g	740	v eː n i g	c446 v202 c105 v191 c824	1242	stan1295
320	Hawaiian	few	kaka`ikahi	kakaʔikahi	k a k a ʔ i k a h i	744	k a k a ʔ i k a h i	c831 v130 c831 v130 c405 v191 c831 v130 c401 v191	1242	hawa1245
321	Navajo	few	t'áá díkwíí	dikwiː	d i k w iː	743	d i k w iː	c143 v191 c831 c457 v183	1242	nava1243
322	Turkish	few	az	az	a z	742	a z	v130 c078	1242	nucl1301
323	Albanian	fight	lufton	lufto	l u f t o	-736	l u f t o	c548 v027 c447 c118 v042	1423	gheg1238
324	English	fight	fights	fait	f ai t	734	f ai t	c447 d030 c118	1423	stan1293
325	French	fight	bat	bat	b a t	733	b a t	c254 v130 c118	1423	stan1290
326	German	fight	kämpft	kamp͡f	k a m p͡f	-732	k a m pf	c831 v130 c239 c420	1423	stan1295
327	Hawaiian	fight	hakakā	hakakaː	h a k a k aː	739	h a k a k aː	c401 v130 c831 v130 c831 v137	1423	hawa1245
328	Navajo	fight	'ahishgą́	ʔahigã́	ʔ a h i g ã́	737	ʔ a h i g ã	c405 v130 c401 v191 c824 v147	1423	nava1243
329	Turkish	fight	dövüşüyor	døvyʃ	d ø v y ʃ	735	d ø v y ʃ	c143 v171 c446 v166 c677	1423	nucl1301
330	Albanian	fire	zjarr	zjarː	z j a rː	782	z j a rː	c078 c564 v130 c160	221	gheg1238
331	English	fire	fire	faiər	f ai ə r	779	f ai ə r	c447 d030 v155 c151	221	stan1293
332	French	fire	feu	fø	f ø	780	f ø	c447 v171	221	stan1290
333	German	fire	Feuer	foiər	f oi ə r	779	f oi ə r	c447 d015 v155 c151	221	stan1295
334	Hawaiian	fire	ahi	ahi	a h i	785	a h i	v130 c401 v191	221	hawa1245
335	Navajo	fire	kǫ'	kõʔ	k õ ʔ	783	k õ ʔ	c831 v038 c405	221	nava1243
336	Turkish	fire	ateş	ateʃ	a t e ʃ	-781	a t e ʃ	v130 c118 v200 c677	221	nucl1301
337	Albanian	fish	peshk	peʃk	p e ʃ k	-353	p e ʃ k	c288 v200 c677 c831	227	gheg1238
338	English	fish	fish	fɪʃ	f ɪ ʃ	353	f ɪ ʃ	c447 v219 c677	227	stan1293
339	French	fish	poisson	pwasɔ̃	p w a s ɔ̃	353	p w a s ɔ̃	c288 c457 v130 c087 v066	227	stan1290
340	German	fish	Fisch	fiʃ	f i ʃ	353	f i ʃ	c447 v191 c677	227	stan1295
341	Hawaiian	fish	i`a	iʔa	i ʔ a	356	i ʔ a	v191 c405 v130	227	hawa1245
342	Navajo	fish	ƚóó'	ɬoːʔ	ɬ oː ʔ	355	ɬ oː ʔ	c534 v035 c405	227	nava1243
343	Turkish	fish	balık	balɯk	b a l ɯ k	354	b a l ɯ k	c254 v130 c548 v081 c831	227	nucl1301
344	Albanian	five	pesë	pesə	p e s ə	201	p e s ə	c288 v200 c087 v155	493	gheg1238
345	English	five	five	faiv	f ai v	201	f ai v	c447 d030 c446	493	stan1293
346	French	five	cinq	sɛ̃k	s ɛ̃ k	201	s ɛ̃ k	c087 v231 c831	493	stan1290
347	German	five	fünf	fynf	f y n f	201	f y n f	c447 v166 c105 c447	493	stan1295
348	Hawaiian	five	lima	lima	l i m a	204	l i m a	c548 v191 c239 v130	493	hawa1245
349	Navajo	five	'ashdla'	ʔaʃdˡaʔ	ʔ a ʃ dˡ a ʔ	203	ʔ a ʃ dˡ a ʔ	c405 v130 c677 c144 v130 c405	493	nava1243
350	Turkish	five	beş	beʃ	b e ʃ	202	b e ʃ	c254 v200 c677	493	nucl1301
351	Albanian	flow	rrjedh	rːeð	rː e ð	1177	rː e ð	c160 v200 c415	2003	gheg1238
352	English	flow	flows	flo	f l o	1174	f l o	c447 c548 v042	2003	stan1293
353	French	flow	coule	kule	k u l e	1175	k u l e	c831 v027 c548 v200	2003	stan1290
354	German	flow	fließt	fliːs	f l iː s	1174	f l iː s	c447 c548 v183 c087	2003	stan1295
355	Hawaiian	flow	kahe	kahe	k a h e	1180	k a h e	c831 v130 c401 v200	2003	hawa1245
356	Navajo	flow	yígeeh	jigeːh	j i g eː h	1178	j i g eː h	c564 v191 c824 v202 c401	2003	nava1243
357	Turkish	flow	akıyor	ak	a k	1176	a k	v130 c831	2003	nucl1301
358	Albanian	flower	lule	lul	l u l	-423	l u l	c548 v027 c548	239	gheg1238
359	English	flower	flower	flauər	f l au ə r	-421	f l au ə r	c447 c548 d026 v155 c151	239	stan1293
360	French	flower	fleur	flœr	f l œ r	421	f l œ r	c447 c548 v178 c151	239	stan1290
361	German	flower	Blume	bluːm	b l uː m	421	b l uː m	c254 c548 v019 c239	239	stan1295
362	Hawaiian	flower	pua	pua	p u a	425	p u a	c288 v027 v130	239	hawa1245
363	Navajo	flower	ch'ilátah hózhóón	ʧˀilaytah	ʧˀ i l ai t a h	424	tʃˀ i l ai t a h	c646 v191 c548 d030 c118 v130 c401	239	nava1243
364	Turkish	flower	çiçek	ʧiʧek	ʧ i ʧ e k	422	tʃ i tʃ e k	c645 v191 c645 v200 c831	239	nucl1301
365	Albanian	fly	fluturon	fluturo	f l u t u r o	844	f l u t u r o	c447 c548 v027 c118 v027 c151 v042	1441	gheg1238
366	English	fly	flies	flai	f l ai	841	f l ai	c447 c548 d030	1441	stan1293
367	French	fly	vole	vɔle	v ɔ l e	842	v ɔ l e	c446 v067 c548 v200	1441	stan1290
368	German	fly	fliegt	fliːg	f l iː g	841	f l iː g	c447 c548 v183 c824	1441	stan1295
369	Hawaiian	fly	lele	lele	l e l e	846	l e l e	c548 v200 c548 v200	1441	hawa1245
370	Navajo	fly	yit'ah	jitˀah	j i tˀ a h	845	j i tˀ a h	c564 v191 c840 v130 c401	1441	nava1243
371	Turkish	fly	uçuyor	uʧ	u ʧ	843	u tʃ	v027 c645	1441	nucl1301
372	Albanian	fog	mjegull	mjeguł	m j e g u ł	470	m j e g u lˠ	c239 c564 v200 c824 v027 c543	249	gheg1238
373	English	fog	fog	fɑg	f ɑ g	-468	f ɑ g	c447 v089 c824	249	stan1293
374	French	fog	brouillard	brujar	b r u j a r	-467	b r u j a r	c254 c151 v027 c564 v130 c151	249	stan1290
375	German	fog	Nebel	neːbəl	n eː b ə l	466	n eː b ə l	c105 v202 c254 v155 c548	249	stan1295
376	Hawaiian	fog	`ohu	ʔohu	ʔ o h u	472	ʔ o h u	c405 v042 c401 v027	249	hawa1245
377	Navajo	fog	'áhí	ayhi	ai h i	471	ai h i	d030 c401 v191	249	nava1243
378	Turkish	fog	sis	sis	s i s	469	s i s	c087 v191 c087	249	nucl1301
379	Albanian	foot	këmbë	kəmb	k ə m b	-229	k ə m b	c831 v155 c239 c254	1301	gheg1238
380	English	foot	foot	fʊt	f ʊ t	227	f ʊ t	c447 v056 c118	1301	stan1293
381	French	foot	pied	pje	p j e	227	p j e	c288 c564 v200	1301	stan1290
382	German	foot	Fuß	fuːs	f uː s	227	f uː s	c447 v019 c087	1301	stan1295
383	Hawaiian	foot	wāwae	waːwae	w aː w a e	231	w aː w a e	c457 v137 c457 v130 v200	1301	hawa1245
384	Navajo	foot	'akee'	keːʔ	k eː ʔ	230	k eː ʔ	c831 v202 c405	1301	nava1243
385	Turkish	foot	ayak	ajak	a j a k	228	a j a k	v130 c564 v130 c831	1301	nucl1301
386	Albanian	four	katër	katər	k a t ə r	20	k a t ə r	c831 v130 c118 v155 c151	1500	gheg1238
387	English	four	four	fɔr	f ɔ r	20	f ɔ r	c447 v067 c151	1500	stan1293
388	French	four	quatre	katr	k a t r	20	k a t r	c831 v130 c118 c151	1500	stan1290
389	German	four	vier	fiːr	f iː r	20	f iː r	c447 v183 c151	1500	stan1295
390	Hawaiian	four	hā	haː	h aː	23	h aː	c401 v137	1500	hawa1245
391	Navajo	four	dį́į́'	dĩːʔ	d ĩː ʔ	22	d ĩː ʔ	c143 v181 c405	1500	nava1243
392	Turkish	four	dört	dørt	d ø r t	21	d ø r t	c143 v171 c151 c118	1500	nucl1301
393	Albanian	freeze	ngrin	ngri	n g r i	376	n g r i	c105 c824 c151 v191	1431	gheg1238
394	English	freeze	freezes	friz	f r i z	373	f r i z	c447 c151 v191 c078	1431	stan1293
395	French	freeze	gèle	ʒɛle	ʒ ɛ l e	374	ʒ ɛ l e	c679 v229 c548 v200	1431	stan1290
396	German	freeze	friert	friːr	f r iː r	373	f r iː r	c447 c151 v183 c151	1431	stan1295
397	Hawaiian	freeze	ho`opa`a i ka hau	hoʔopaʔa	h o ʔ o p a ʔ a	378	h o ʔ o p a ʔ a	c401 v042 c405 v042 c288 v130 c405 v130	1431	hawa1245
398	Navajo	freeze	yishtin	jiʃtin	j i ʃ t i n	377	j i ʃ t i n	c564 v191 c677 c118 v191 c105	1431	nava1243
399	Turkish	freeze	donuyor	don	d o n	375	d o n	c143 v042 c105	1431	nucl1301
400	Albanian	fruit	pemë	pem	p e m	-1102	p e m	c288 v200 c239	1507	gheg1238
401	English	fruit	fruit	frut	f r u t	-1100	f r u t	c447 c151 v027 c118	1507	stan1293
402	French	fruit	fruit	frɥi	f r ɥ i	1100	f r ɥ i	c447 c151 c453 v191	1507	stan1290
403	German	fruit	Frucht	fruxt	f r u x t	-1100	f r u x t	c447 c151 v027 c772 c118	1507	stan1295
404	Hawaiian	fruit	hua	hua	h u a	1104	h u a	c401 v027 v130	1507	hawa1245
405	Navajo	fruit	bineest'ą'	bineːstˀãʔ	b i n eː s tˀ ã ʔ	1103	b i n eː s tˀ ã ʔ	c254 v191 c105 v202 c087 c840 v147 c405	1507	nava1243
406	Turkish	fruit	meyva	mejva	m e j v a	-1101	m e j v a	c239 v200 c564 c446 v130	1507	nucl1301
407	Albanian	full	plotë	plot	p l o t	503	p l o t	c288 c548 v042 c118	1429	gheg1238
408	English	full	full	fʊl	f ʊ l	503	f ʊ l	c447 v056 c548	1429	stan1293
409	French	full	plein	plɛn	p l ɛ n	503	p l ɛ n	c288 c548 v229 c105	1429	stan1290
410	German	full	voll	fol	f o l	503	f o l	c447 v042 c548	1429	stan1295
411	Hawaiian	full	piha	piha	p i h a	506	p i h a	c288 v191 c401 v130	1429	hawa1245
412	Navajo	full	hadeezbin	hadibin	h a d i b i n	505	h a d i b i n	c401 v130 c143 v191 c254 v191 c105	1429	nava1243
413	Turkish	full	dolu	dolu	d o l u	504	d o l u	c143 v042 c548 v027	1429	nucl1301
414	Albanian	give	jep	jep	j e p	936	j e p	c564 v200 c288	1447	gheg1238
415	English	give	gives	gɪv	g ɪ v	-933	g ɪ v	c824 v219 c446	1447	stan1293
416	French	give	donne	dɔne	d ɔ n e	934	d ɔ n e	c143 v067 c105 v200	1447	stan1290
417	German	give	gibt	geːb	g eː b	933	g eː b	c824 v202 c254	1447	stan1295
418	Hawaiian	give	hā`awi	haːʔawi	h aː ʔ a w i	938	h aː ʔ a w i	c401 v137 c405 v130 c457 v191	1447	hawa1245
419	Navajo	give	nish'aah	niʔaːh	n i ʔ aː h	937	n i ʔ aː h	c105 v191 c405 v137 c401	1447	nava1243
420	Turkish	give	veriyor	ver	v e r	935	v e r	c446 v200 c151	1447	nucl1301
421	Albanian	go	shkon	ʃko	ʃ k o	62	ʃ k o	c677 c831 v042	695	gheg1238
422	English	go	goes	go	g o	59	g o	c824 v042	695	stan1293
423	French	go	va	v	v	60	v	c446	695	stan1290
424	German	go	geht	geː	g eː	59	g eː	c824 v202	695	stan1295
425	Hawaiian	go	hele	hele	h e l e	65	h e l e	c401 v200 c548 v200	695	hawa1245
426	Navajo	go	yíghááh	jiɣaːh	j i ɣ aː h	63	j i ɣ aː h	c564 v191 c774 v137 c401	695	nava1243
427	Turkish	go	yürüyor	jyry	j y r y	61	j y r y	c564 v166 c151 v166	695	nucl1301
428	Albanian	good	mirë	mir	m i r	-170	m i r	c239 v191 c151	1035	gheg1238
429	English	good	good	gʊd	g ʊ d	167	g ʊ d	c824 v056 c143	1035	stan1293
430	French	good	bon	bɔn	b ɔ n	168	b ɔ n	c254 v067 c105	1035	stan1290
431	German	good	gut	guːt	g uː t	167	g uː t	c824 v019 c118	1035	stan1295
432	Hawaiian	good	maika`i	maikaʔi	m a i k a ʔ i	172	m a i k a ʔ i	c239 v130 v191 c831 v130 c405 v191	1035	hawa1245
433	Navajo	good	yá'átˀééh	jayʔaytˀeːh	j ai ʔ ai tˀ eː h	171	j ai ʔ ai tˀ eː h	c564 d030 c405 d030 c840 v202 c401	1035	nava1243
434	Turkish	good	iyi	iji	i j i	169	i j i	v191 c564 v191	1035	nucl1301
435	Albanian	grass	bar	bar	b a r	907	b a r	c254 v130 c151	606	gheg1238
436	English	grass	grass	gras	g r a s	904	g r a s	c824 c151 v130 c087	606	stan1293
437	French	grass	herbe	ɛrb	ɛ r b	905	ɛ r b	v229 c151 c254	606	stan1290
438	German	grass	Gras	graːz	g r aː z	904	g r aː z	c824 c151 v137 c078	606	stan1295
439	Hawaiian	grass	mau`u	mauʔu	m a u ʔ u	910	m a u ʔ u	c239 v130 v027 c405 v027	606	hawa1245
440	Navajo	grass	tƚ'oh	tˡˀoh	tˡˀ o h	908	tˡˀ o h	c120 v042 c401	606	nava1243
441	Turkish	grass	ot	ot	o t	906	o t	v042 c118	606	nucl1301
442	Albanian	grease	dhjamë	ðjam	ð j a m	-393	ð j a m	c415 c564 v130 c239	323	gheg1238
443	English	grease	grease	gris	g r i s	-391	g r i s	c824 c151 v191 c087	323	stan1293
444	French	grease	graisse	grɛs	g r ɛ s	391	g r ɛ s	c824 c151 v229 c087	323	stan1290
445	German	grease	Fett	fet	f e t	-390	f e t	c447 v200 c118	323	stan1295
446	Hawaiian	grease	`aila	ʔaila	ʔ a i l a	-396	ʔ a i l a	c405 v130 v191 c548 v130	323	hawa1245
447	Navajo	grease	'ak'ah	kˀah	kˀ a h	394	kˀ a h	c841 v130 c401	323	nava1243
448	Turkish	grease	yağ	jaɣ	j a ɣ	392	j a ɣ	c564 v130 c774	323	nucl1301
449	Albanian	green	gjelbër	ɟelbər	ɟ e l b ə r	-1194	ɟ e l b ə r	c603 v200 c548 c254 v155 c151	1425	gheg1238
450	English	green	green	grin	g r i n	1191	g r i n	c824 c151 v191 c105	1425	stan1293
451	French	green	vert	vɛrt	v ɛ r t	1192	v ɛ r t	c446 v229 c151 c118	1425	stan1290
452	German	green	grün	gryːn	g r yː n	1191	g r yː n	c824 c151 v168 c105	1425	stan1295
453	Hawaiian	green	`ōma`oma`o	ʔoːmaʔomaʔo	ʔ oː m a ʔ o m a ʔ o	1196	ʔ oː m a ʔ o m a ʔ o	c405 v035 c239 v130 c405 v042 c239 v130 c405 v042	1425	hawa1245
454	Navajo	green	dootƚ'izh	doːtˡˀiʒ	d oː tˡˀ i ʒ	1195	d oː tˡˀ i ʒ	c143 v035 c120 v191 c679	1425	nava1243
455	Turkish	green	yeşil	jeʃil	j e ʃ i l	1193	j e ʃ i l	c564 v200 c677 v191 c548	1425	nucl1301
456	Albanian	guts	zorrë	zorː	z o rː	103	z o rː	c078 v042 c160	1334	gheg1238
457	English	guts	guts	gət	g ə t	101	g ə t	c824 v155 c118	1334	stan1293
458	French	guts	intestins	ɛ̃tɛstɛ̃	ɛ̃ t ɛ s t ɛ̃	-100	ɛ̃ t ɛ s t ɛ̃	v231 c118 v229 c087 c118 v231	1334	stan1290
459	German	guts	Därme	darm	d a r m	99	d a r m	c143 v130 c151 c239	1334	stan1295
460	Hawaiian	guts	na`au	naʔau	n a ʔ a u	105	n a ʔ a u	c105 v130 c405 v130 v027	1334	hawa1245
461	Navajo	guts	'ach'íí'	ʧˀiːʔ	ʧˀ iː ʔ	104	tʃˀ iː ʔ	c646 v183 c405	1334	nava1243
462	Turkish	guts	barsaklar	barsak	b a r s a k	102	b a r s a k	c254 v130 c151 c087 v130 c831	1334	nucl1301
463	Albanian	hair	flok	flok	f l o k	-382	f l o k	c447 c548 v042 c831	1040	gheg1238
464	English	hair	hair	hɛr	h ɛ r	-379	h ɛ r	c401 v229 c151	1040	stan1293
465	French	hair	cheveux	ʃəvø	ʃ ə v ø	380	ʃ ə v ø	c677 v155 c446 v171	1040	stan1290
466	German	hair	Haare	haːr	h aː r	379	h aː r	c401 v137 c151	1040	stan1295
467	Hawaiian	hair	lauoho	lauoho	l a u o h o	384	l a u o h o	c548 v130 v027 v042 c401 v042	1040	hawa1245
468	Navajo	hair	'atsiighá	ʦiːɣaʔ	ʦ iː ɣ a ʔ	383	ts iː ɣ a ʔ	c015 v183 c774 v130 c405	1040	nava1243
469	Turkish	hair	saç	saʧ	s a ʧ	381	s a tʃ	c087 v130 c645	1040	nucl1301
470	Albanian	hand	dorë	dor	d o r	1097	d o r	c143 v042 c151	1277	gheg1238
471	English	hand	hand	hand	h a n d	1094	h a n d	c401 v130 c105 c143	1277	stan1293
472	French	hand	main	mɛ̃	m ɛ̃	1095	m ɛ̃	c239 v231	1277	stan1290
473	German	hand	Hand	hand	h a n d	1094	h a n d	c401 v130 c105 c143	1277	stan1295
474	Hawaiian	hand	lima	lima	l i m a	1099	l i m a	c548 v191 c239 v130	1277	hawa1245
475	Navajo	hand	'ála'	laʔ	l a ʔ	1098	l a ʔ	c548 v130 c405	1277	nava1243
476	Turkish	hand	el	el	e l	1096	e l	v200 c548	1277	nucl1301
477	Albanian	he	ai	ai	a i	837	a i	v130 v191	1211	gheg1238
478	English	he	he	hi	h i	835	h i	c401 v191	1211	stan1293
479	French	he	il	il	i l	834	i l	v191 c548	1211	stan1290
480	German	he	er	eːr	eː r	833	eː r	v202 c151	1211	stan1295
481	Hawaiian	he	ia	ia	i a	840	i a	v191 v130	1211	hawa1245
482	Navajo	he	bí	bi	b i	838	b i	c254 v191	1211	nava1243
483	Turkish	he	o	on	o n	836	o n	v042 c105	1211	nucl1301
484	Albanian	head	kokë	kok	k o k	762	k o k	c831 v042 c831	1256	gheg1238
485	English	head	head	hɛd	h ɛ d	760	h ɛ d	c401 v229 c143	1256	stan1293
486	French	head	tête	tɛt	t ɛ t	759	t ɛ t	c118 v229 c118	1256	stan1290
487	German	head	Kopf	kop͡f	k o p͡f	-758	k o pf	c831 v042 c420	1256	stan1295
488	Hawaiian	head	po`o	poʔo	p o ʔ o	764	p o ʔ o	c288 v042 c405 v042	1256	hawa1245
489	Navajo	head	'atsii'	ʦiːʔ	ʦ iː ʔ	763	ts iː ʔ	c015 v183 c405	1256	nava1243
490	Turkish	head	baş	baʃ	b a ʃ	761	b a ʃ	c254 v130 c677	1256	nucl1301
491	Albanian	hear	dëgjon	dəɟo	d ə ɟ o	789	d ə ɟ o	c143 v155 c603 v042	1408	gheg1238
492	English	hear	hears	hɪr	h ɪ r	786	h ɪ r	c401 v219 c151	1408	stan1293
493	French	hear	entend	ɑ̃tɑ̃d	ɑ̃ t ɑ̃ d	787	ɑ̃ t ɑ̃ d	v088 c118 v088 c143	1408	stan1290
494	German	hear	hört	høːr	h øː r	786	h øː r	c401 v169 c151	1408	stan1295
495	Hawaiian	hear	lohe	lohe	l o h e	792	l o h e	c548 v042 c401 v200	1408	hawa1245
496	Navajo	hear	diits'a'	diːʦˀaʔ	d iː ʦˀ a ʔ	790	d iː tsˀ a ʔ	c143 v183 c016 v130 c405	1408	nava1243
497	Turkish	hear	işitiyor	iʃit	i ʃ i t	788	i ʃ i t	v191 c677 v191 c118	1408	nucl1301
498	Albanian	heart	zemër	zemər	z e m ə r	922	z e m ə r	c078 v200 c239 v155 c151	1223	gheg1238
499	English	heart	heart	hɑrt	h ɑ r t	920	h ɑ r t	c401 v089 c151 c118	1223	stan1293
500	French	heart	cœur	kœr	k œ r	920	k œ r	c831 v178 c151	1223	stan1290
501	German	heart	Herz	herʦən	h e r ʦ ə n	920	h e r ts ə n	c401 v200 c151 c015 v155 c105	1223	stan1295
502	Hawaiian	heart	pu`uwai	puʔuwai	p u ʔ u w a i	924	p u ʔ u w a i	c288 v027 c405 v027 c457 v130 v191	1223	hawa1245
503	Navajo	heart	'ajéídíshjool	ʤeidiʃʤoːl	ʤ e i d i ʃ ʤ oː l	923	dʒ e i d i ʃ dʒ oː l	c649 v200 v191 c143 v191 c677 c649 v035 c548	1223	nava1243
504	Turkish	heart	yürek	jyrek	j y r e k	921	j y r e k	c564 v166 c151 v200 c831	1223	nucl1301
505	Albanian	heavy	rëndë	rənd	r ə n d	331	r ə n d	c151 v155 c105 c143	1210	gheg1238
