ID	DOCULECT	CONCEPT	IDS_ID	COUNTERPART	IPA	COGID	TOKENS	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOLOG
1309	Dutch	the dinner	5.44	avondeten	aːvɔnd#eːtə	1260	aː v ɔ n d # eː t ə	aː v ɔ n d _ eː t ə	v137 c446 v067 c105 c143 m001 v202 c118 v155	1833	DINNER (SUPPER)	dutc1256
1310	English	the dinner	5.44	dinner	dɪnər	-1259	d ɪ n ə r	d ɪ n ə r	c143 v219 c105 v155 c151	1833	DINNER (SUPPER)	stan1293
1712	German	the ditch	8.17	graben	ɡraːbən	1712	ɡ r aː b ə n	g r aː b ə n	c824 c151 v137 c254 v155 c105	2002	DITCH	stan1295
1713	French	the ditch	8.17	fossé	fɔse	1714	f ɔ s e	f ɔ s e	c447 v067 c087 v200	2002	DITCH	stan1290
1714	Dutch	the ditch	8.17	sloot	sloːt	1715	s l oː t	s l oː t	c087 c548 v035 c118	2002	DITCH	dutc1256
1715	English	the ditch	8.17	ditch	dɪʧ	1713	d ɪ ʧ	d ɪ tʃ	c143 v219 c645	2002	DITCH	stan1293
334	German	the divorce	2.341	Ehescheidung	eː.ə#ʃaidʊŋ	892	eː ə # ʃ ai d ʊ ŋ	eː ə _ ʃ ai d ʊ ŋ	v202 v155 m001 c677 d030 c143 v056 c795	1134	DIVORCE	stan1295
335	German	the divorce	2.341	Scheidung	ʃaidʊŋ	892	ʃ ai d ʊ ŋ	ʃ ai d ʊ ŋ	c677 d030 c143 v056 c795	1134	DIVORCE	stan1295
336	French	the divorce	2.341	divorce	divɔʀs	893	d i v ɔ ʀ s	d i v ɔ ʀ s	c143 v191 c446 v067 c761 c087	1134	DIVORCE	stan1290
337	Dutch	the divorce	2.341	scheiding	sxɛɪdɪŋ	892	s x ɛɪ d ɪ ŋ	s x ɛi d ɪ ŋ	c087 c772 d059 c143 v219 c795	1134	DIVORCE	dutc1256
338	English	the divorce	2.341	divorce	dɪvɔːs	-893	d ɪ v ɔː s	d ɪ v ɔː s	c143 v219 c446 v065 c087	1134	DIVORCE	stan1293
599	German	the dog	3.61	Hund	hʊnt	1755	h ʊ n t	h ʊ n t	c401 v056 c105 c118	2009	DOG	stan1295
600	French	the dog	3.61	chien	ʃjɛ̃	1755	ʃ j ɛ̃	ʃ j ɛ̃	c677 c564 v231	2009	DOG	stan1290
601	Dutch	the dog	3.61	hond	hɔnt	1755	h ɔ n t	h ɔ n t	c401 v067 c105 c118	2009	DOG	dutc1256
602	English	the dog	3.61	dog	dɔɡ	1756	d ɔ ɡ	d ɔ g	c143 v067 c824	2009	DOG	stan1293
1584	German	the door or gate	7.22	Tor	toːr	1952	t oː r	t oː r	c118 v035 c151	1567	DOOR	stan1295
1585	French	the door or gate	7.22	porte	pɔʀt	1953	p ɔ ʀ t	p ɔ ʀ t	c288 v067 c761 c118	1567	DOOR	stan1290
1586	Dutch	the door or gate	7.22	deur	døːr	1952	d øː r	d øː r	c143 v169 c151	1567	DOOR	dutc1256
1588	English	the door or gate	7.22	door	dɔːr	1952	d ɔː r	d ɔː r	c143 v065 c151	1567	DOOR	stan1293
1332	German	the dough	5.53	Teig	taik	650	t ai k	t ai k	c118 d030 c831	273	DOUGH	stan1295
1333	French	the dough	5.53	pâte	pɑt	651	p ɑ t	p ɑ t	c288 v089 c118	273	DOUGH	stan1290
1334	Dutch	the dough	5.53	deeg	deːx	650	d eː x	d eː x	c143 v202 c772	273	DOUGH	dutc1256
1335	English	the dough	5.53	dough	dəʊ	650	d əʊ	d əu	c143 d029	273	DOUGH	stan1293
595	German	the dove	3.594	Taube	taubə	810	t au b ə	t au b ə	c118 d026 c254 v155	1853	DOVE	stan1295
596	French	the dove	3.594	colombe	kɔlɔ̃b	811	k ɔ l ɔ̃ b	k ɔ l ɔ̃ b	c831 v067 c548 v066 c254	1853	DOVE	stan1290
597	Dutch	the dove	3.594	duif	dœyf	810	d œi f	d œi f	c143 d042 c447	1853	DOVE	dutc1256
598	English	the dove	3.594	dove	dʌv	810	d ʌ v	d ʌ v	c143 v097 c446	1853	DOVE	stan1293
1398	German	the drink	5.9	Getränk	ɡə#trɛŋk	480	ɡ ə # t r ɛ ŋ k	g ə _ t r ɛ ŋ k	c824 v155 m001 c118 c151 v229 c795 c831	731	DRINK (FLUID)	stan1295
1399	French	the drink	5.9	boisson	bwasɔ̃	481	b w a s ɔ̃	b w a s ɔ̃	c254 c457 v130 c087 v066	731	DRINK (FLUID)	stan1290
1400	Dutch	the drink	5.9	drank	drɑŋk	480	d r ɑ ŋ k	d r ɑ ŋ k	c143 c151 v089 c795 c831	731	DRINK (FLUID)	dutc1256
1401	English	the drink	5.9	drink	drɪŋk	480	d r ɪ ŋ k	d r ɪ ŋ k	c143 c151 v219 c795 c831	731	DRINK (FLUID)	stan1293
575	German	the eagle	3.584	Adler	aːdlər	162	aː d l ə r	aː d l ə r	v137 c143 c548 v155 c151	1905	EAGLE	stan1295
576	French	the eagle	3.584	aigle	ɛɡl	163	ɛ ɡ l	ɛ g l	v229 c824 c548	1905	EAGLE	stan1290
577	Dutch	the eagle	3.584	adelaar	aːdəlaːr	162	aː d ə l aː r	aː d ə l aː r	v137 c143 v155 c548 v137 c151	1905	EAGLE	dutc1256
578	English	the eagle	3.584	eagle	iːɡḷ	-163	iː ɡ ḷ	iː g l̩	v183 c824 c537	1905	EAGLE	stan1293
166	German	the earthquake	1.45	Erdbeben	eːrt#beːbən	420	eː r t # b eː b ə n	eː r t _ b eː b ə n	v202 c151 c118 m001 c254 v202 c254 v155 c105	6	EARTHQUAKE	stan1295
167	French	the earthquake	1.45	séisme	seism	422	s ei s m	s ei s m	c087 d047 c087 c239	6	EARTHQUAKE	stan1290
168	Dutch	the earthquake	1.45	aardbeving	aːrd#beːvɪŋ	420	aː r d # b eː v ɪ ŋ	aː r d _ b eː v ɪ ŋ	v137 c151 c143 m001 c254 v202 c446 v219 c795	6	EARTHQUAKE	dutc1256
169	English	the earthquake	1.45	earthquake	ɜːθ#kweɪk	421	ɜː θ # k w eɪ k	ɜː θ _ k w eɪ k	v150 c413 m001 c831 c457 d048 c831	6	EARTHQUAKE	stan1293
871	German	the elbow	4.32	Ellenbogen	ɛlən#boːɡən	603	ɛ l ə n # b oː ɡ ə n	ɛ l ə n _ b oː g ə n	v229 c548 v155 c105 m001 c254 v035 c824 v155 c105	981	ELBOW	stan1295
872	French	the elbow	4.32	coude	kud	604	k u d	k u d	c831 v027 c143	981	ELBOW	stan1290
873	Dutch	the elbow	4.32	elleboog	ɛlə#boːx	603	ɛ l ə # b oː x	ɛ l ə _ b oː x	v229 c548 v155 m001 c254 v035 c772	981	ELBOW	dutc1256
874	English	the elbow	4.32	elbow	ɛl#bəʊ	603	ɛ l # b əʊ	ɛ l _ b əu	v229 c548 m001 c254 d029	981	ELBOW	stan1293
811	German	the eyebrow	4.212	Augenbraue	auɡən#brauə	246	au ɡ ə n # b r au ə	au g ə n _ b r au ə	d026 c824 v155 c105 m001 c254 c151 d026 v155	1173	EYEBROW	stan1295
812	French	the eyebrow	4.212	sourcil	suʀsi	248	s u ʀ s i	s u ʀ s i	c087 v027 c761 c087 v191	1173	EYEBROW	stan1290
813	Dutch	the eyebrow	4.212	wenkbrauw	wɛŋɡ#brɑuw	246	w ɛ ŋ ɡ # b r ɑu w	w ɛ ŋ g _ b r ɑu w	c457 v229 c795 c824 m001 c254 c151 d023 c457	1173	EYEBROW	dutc1256
814	English	the eyebrow	4.212	eyebrow	aɪ#braʊ	246	aɪ # b r aʊ	aɪ _ b r aʊ	d032 m001 c254 c151 d028	1173	EYEBROW	stan1293
815	German	the eyelid	4.213	Augenlid	auɡən#liːt	249	au ɡ ə n # l iː t	au g ə n _ l iː t	d026 c824 v155 c105 m001 c548 v183 c118	17	EYELID	stan1295
816	German	the eyelid	4.213	Lid	liːt	249	l iː t	l iː t	c548 v183 c118	17	EYELID	stan1295
817	French	the eyelid	4.213	paupière	popjɛʀ	250	p o p j ɛ ʀ	p o p j ɛ ʀ	c288 v042 c288 c564 v229 c761	17	EYELID	stan1290
818	Dutch	the eyelid	4.213	ooglid	oːɣ#lɪt	249	oː ɣ # l ɪ t	oː ɣ _ l ɪ t	v035 c774 m001 c548 v219 c118	17	EYELID	dutc1256
819	English	the eyelid	4.213	eyelid	aɪ#lɪd	249	aɪ # l ɪ d	aɪ _ l ɪ d	d032 m001 c548 v219 c143	17	EYELID	stan1293
799	German	the face	4.204	Gesicht	ge#zɪxt	1865	g e # z ɪ x t	g e _ z ɪ x t	c824 v200 m001 c078 v219 c772 c118	1560	FACE	stan1295
800	French	the face	4.204	visage	vizaʒ	1864	v i z a ʒ	v i z a ʒ	c446 v191 c078 v130 c679	1560	FACE	stan1290
801	Dutch	the face	4.204	gezicht	xə#zɪxt	1865	x ə # z ɪ x t	x ə _ z ɪ x t	c772 v155 m001 c078 v219 c772 c118	1560	FACE	dutc1256
802	English	the face	4.204	face	feɪs	6018	f eɪ s	f eɪ s	c447 d048 c087	1560	FACE	stan1293
430	German	the family	2.82	Familie	famiːliː.ə	-445	f a m iː l iː ə	f a m iː l iː ə	c447 v130 c239 v183 c548 v183 v155	194	FAMILY	stan1295
431	French	the family	2.82	famille	famij	445	f a m i j	f a m i j	c447 v130 c239 v191 c564	194	FAMILY	stan1290
432	Dutch	the family	2.82	gezin	xəzɪn	447	x ə z ɪ n	x ə z ɪ n	c772 v155 c078 v219 c105	194	FAMILY	dutc1256
433	English	the family	2.82	family	fæməlɪ	-445	f æ m ə l ɪ	f æ m ə l ɪ	c447 v198 c239 v155 c548 v219	194	FAMILY	stan1293
1225	German	the famine	5.141	Hungersnot	hʊŋərs#noːt	451	h ʊ ŋ ə r s # n oː t	h ʊ ŋ ə r s _ n oː t	c401 v056 c795 v155 c151 c087 m001 c105 v035 c118	199	FAMINE	stan1295
1226	French	the famine	5.141	famine	famin	452	f a m i n	f a m i n	c447 v130 c239 v191 c105	199	FAMINE	stan1290
1227	French	the famine	5.141	disette	dizɛt	453	d i z ɛ t	d i z ɛ t	c143 v191 c078 v229 c118	199	FAMINE	stan1290
1228	Dutch	the famine	5.141	hongersnood	hɔŋərs#noːt	451	h ɔ ŋ ə r s # n oː t	h ɔ ŋ ə r s _ n oː t	c401 v067 c795 v155 c151 c087 m001 c105 v035 c118	199	FAMINE	dutc1256
1229	English	the famine	5.141	famine	fæmɪn	-452	f æ m ɪ n	f æ m ɪ n	c447 v198 c239 v219 c105	199	FAMINE	stan1293
2082	German	the fan	9.79	Fächer	fɛxər	982	f ɛ x ə r	f ɛ x ə r	c447 v229 c772 v155 c151	1971	FAN (OBJECT)	stan1295
2083	French	the fan	9.79	éventail	evɑ̃taj	984	e v ɑ̃ t a j	e v ɑ̃ t a j	v200 c446 v088 c118 v130 c564	1971	FAN (OBJECT)	stan1290
2084	Dutch	the fan	9.79	waaier	waːjər	6050	w aː j ə r	w aː j ə r	c457 v137 c564 v155 c151	1971	FAN (OBJECT)	dutc1256
2085	English	the fan	9.79	fan	fæn	983	f æ n	f æ n	c447 v198 c105	1971	FAN (OBJECT)	stan1293
1688	German	the farmer	8.11	Bauer	bauər	1720	b au ə r	b au ə r	c254 d026 v155 c151	979	FARMER	stan1295
1689	French	the farmer	8.11	fermier	fɛʀmje	1722	f ɛ ʀ m j e	f ɛ ʀ m j e	c447 v229 c761 c239 c564 v200	979	FARMER	stan1290
1690	Dutch	the farmer	8.11	boer	buːr	1720	b uː r	b uː r	c254 v019 c151	979	FARMER	dutc1256
1691	English	the farmer	8.11	farmer	fɑːmər	-1722	f ɑː m ə r	f ɑː m ə r	c447 v091 c239 v155 c151	979	FARMER	stan1293
339	German	the father	2.35	Vater	faːtər	719	f aː t ə r	f aː t ə r	c447 v137 c118 v155 c151	1217	FATHER	stan1295
340	French	the father	2.35	père	pɛʀ	721	p ɛ ʀ	p ɛ ʀ	c288 v229 c761	1217	FATHER	stan1290
341	Dutch	the father	2.35	vader	vaːdər	719	v aː d ə r	v aː d ə r	c446 v137 c143 v155 c151	1217	FATHER	dutc1256
342	English	the father	2.35	father	fɑːðər	719	f ɑː ð ə r	f ɑː ð ə r	c447 v091 c415 v155 c151	1217	FATHER	stan1293
397	German	the father-in-law (of a man)	2.61	Schwiegervater	ʃviːɡər#faːtər	412	ʃ v iː ɡ ə r # f aː t ə r	ʃ v iː g ə r _ f aː t ə r	c677 c446 v183 c824 v155 c151 m001 c447 v137 c118 v155 c151	2255	FATHER-IN-LAW (OF MAN)	stan1295
398	French	the father-in-law (of a man)	2.61	beau-père	bo#pɛʀ	412	b o # p ɛ ʀ	b o _ p ɛ ʀ	c254 v042 m001 c288 v229 c761	2255	FATHER-IN-LAW (OF MAN)	stan1290
399	Dutch	the father-in-law (of a man)	2.61	schoonvader	sxoːn#vaːdər	412	s x oː n # v aː d ə r	s x oː n _ v aː d ə r	c087 c772 v035 c105 m001 c446 v137 c143 v155 c151	2255	FATHER-IN-LAW (OF MAN)	dutc1256
400	English	the father-in-law (of a man)	2.61	father-in-law	fɑːðər#ɪn#lɔː	412	f ɑː ð ə r # ɪ n # l ɔː	f ɑː ð ə r _ ɪ n _ l ɔː	c447 v091 c415 v155 c151 m001 v219 c105 m001 c548 v065	2255	FATHER-IN-LAW (OF MAN)	stan1293
1435	German	the felt	6.27	Filz	fɪlʦ	2271	f ɪ l ʦ	f ɪ l ts	c447 v219 c548 c015	325	FELT	stan1295
1436	French	the felt	6.27	feutre	føtʀ	2272	f ø t ʀ	f ø t ʀ	c447 v171 c118 c761	325	FELT	stan1290
1437	Dutch	the felt	6.27	vilt	vɪlt	2271	v ɪ l t	v ɪ l t	c446 v219 c548 c118	325	FELT	dutc1256
1438	English	the felt	6.27	felt	fɛlt	2271	f ɛ l t	f ɛ l t	c447 v229 c548 c118	325	FELT	stan1293
1707	German	the fence	8.16	Zaun	ʦaun	1716	ʦ au n	ts au n	c015 d026 c105	1690	FENCE	stan1295
1708	German	the fence	8.16	Gehege	ɡə#heːɡə	1719	ɡ ə # h eː ɡ ə	g ə _ h eː g ə	c824 v155 m001 c401 v202 c824 v155	1690	FENCE	stan1295
1709	French	the fence	8.16	barrière	baʀjɛʀ	1718	b a ʀ j ɛ ʀ	b a ʀ j ɛ ʀ	c254 v130 c761 c564 v229 c761	1690	FENCE	stan1290
1710	Dutch	the fence	8.16	hek	hɛk	1719	h ɛ k	h ɛ k	c401 v229 c831	1690	FENCE	dutc1256
1711	English	the fence	8.16	fence	fɛns	1717	f ɛ n s	f ɛ n s	c447 v229 c105 c087	1690	FENCE	stan1293
1692	German	the field	8.12	Feld	fɛlt	1726	f ɛ l t	f ɛ l t	c447 v229 c548 c118	212	FIELD	stan1295
1693	French	the field	8.12	champ	ʃɑ̃	1727	ʃ ɑ̃	ʃ ɑ̃	c677 v088	212	FIELD	stan1290
1695	Dutch	the field	8.12	veld	vɛlt	1726	v ɛ l t	v ɛ l t	c446 v229 c548 c118	212	FIELD	dutc1256
1696	English	the field	8.12	field	fiːld	1726	f iː l d	f iː l d	c447 v183 c548 c143	212	FIELD	stan1293
1361	German	the fig	5.75	feige	faiɡə	-1647	f ai ɡ ə	f ai g ə	c447 d030 c824 v155	322	FIG	stan1295
1362	French	the fig	5.75	figue	fiɡ	1647	f i ɡ	f i g	c447 v191 c824	322	FIG	stan1290
1363	Dutch	the fig	5.75	vijg	vɛɪx	-1647	v ɛɪ x	v ɛi x	c446 d059 c772	322	FIG	dutc1256
1364	English	the fig	5.75	fig	fɪɡ	-1647	f ɪ ɡ	f ɪ g	c447 v219 c824	322	FIG	stan1293
618	German	the fin	3.652	Finne	fɪnə	1620	f ɪ n ə	f ɪ n ə	c447 v219 c105 v155	213	FIN	stan1295
619	French	the fin	3.652	nageoire	naʒwaʀ	1621	n a ʒ w a ʀ	n a ʒ w a ʀ	c105 v130 c679 c457 v130 c761	213	FIN	stan1290
620	Dutch	the fin	3.652	vin	vɪn	1620	v ɪ n	v ɪ n	c446 v219 c105	213	FIN	dutc1256
621	English	the fin	3.652	fin	fɪn	1620	f ɪ n	f ɪ n	c447 v219 c105	213	FIN	stan1293
883	German	the finger	4.34	Finger	fɪŋər	615	f ɪ ŋ ə r	f ɪ ŋ ə r	c447 v219 c795 v155 c151	1303	FINGER	stan1295
884	French	the finger	4.34	doigt	dwa	616	d w a	d w a	c143 c457 v130	1303	FINGER	stan1290
885	Dutch	the finger	4.34	vinger	vɪŋər	615	v ɪ ŋ ə r	v ɪ ŋ ə r	c446 v219 c795 v155 c151	1303	FINGER	dutc1256
886	English	the finger	4.34	finger	fɪŋɡər	615	f ɪ ŋ ɡ ə r	f ɪ ŋ g ə r	c447 v219 c795 c824 v155 c151	1303	FINGER	stan1293
1829	German	the fir	8.65	Tanne	tanə	80	t a n ə	t a n ə	c118 v130 c105 v155	1915	FIR	stan1295
1830	French	the fir	8.65	sapin	sapɛ̃	82	s a p ɛ̃	s a p ɛ̃	c087 v130 c288 v231	1915	FIR	stan1290
1831	French	the fir	8.65	conifère	kɔnifɛʀ	84	k ɔ n i f ɛ ʀ	k ɔ n i f ɛ ʀ	c831 v067 c105 v191 c447 v229 c761	1915	FIR	stan1290
1832	Dutch	the fir	8.65	spar	spɑr	83	s p ɑ r	s p ɑ r	c087 c288 v089 c151	1915	FIR	dutc1256
1833	English	the fir	8.65	fir	fɜːr	81	f ɜː r	f ɜː r	c447 v150 c151	1915	FIR	stan1293
248	German	the fire	1.81	Feuer	fɔyər	1211	f ɔ i ə r	f ɔ i ə r	c447 v067 v191 v155 c151	221	FIRE	stan1295
249	French	the fire	1.81	feu	fø	6007	f ø	f ø	c447 v171	221	FIRE	stan1290
250	Dutch	the fire	1.81	vuur	vyːr	1211	v yː r	v yː r	c446 v168 c151	221	FIRE	dutc1256
251	English	the fire	1.81	fire	faɪər	1211	f aɪ ə r	f aɪ ə r	c447 d032 v155 c151	221	FIRE	stan1293
1609	German	the fireplace	7.31	Herd	heːrt	1254	h eː r t	h eː r t	c401 v202 c151 c118	185	FIREPLACE	stan1295
1610	French	the fireplace	7.31	foyer	fwaje	1253	f w a j e	f w a j e	c447 c457 v130 c564 v200	185	FIREPLACE	stan1290
1611	Dutch	the fireplace	7.31	haard	haːrt	1254	h aː r t	h aː r t	c401 v137 c151 c118	185	FIREPLACE	dutc1256
1612	English	the fireplace	7.31	fireplace	faɪə#pleɪs	1252	f aɪ ə # p l eɪ s	f aɪ ə _ p l eɪ s	c447 d032 v155 m001 c288 c548 d048 c087	185	FIREPLACE	stan1293
271	German	the firewood	1.88	Brennholz	brɛn#hɔlʦ	1208	b r ɛ n # h ɔ l ʦ	b r ɛ n _ h ɔ l ts	c254 c151 v229 c105 m001 c401 v067 c548 c015	10	FIREWOOD	stan1295
272	French	the firewood	1.88	bûches	byʃe	1210	b y ʃ e	b y ʃ e	c254 v166 c677 v200	10	FIREWOOD	stan1290
273	Dutch	the firewood	1.88	brandhout	brɑnt#hɑut	1208	b r ɑ n t # h ɑu t	b r ɑ n t _ h ɑu t	c254 c151 v089 c105 c118 m001 c401 d023 c118	10	FIREWOOD	dutc1256
274	English	the firewood	1.88	firewood	faɪə#wʊd	1209	f aɪ ə # w ʊ d	f aɪ ə _ w ʊ d	c447 d032 v155 m001 c457 v056 c143	10	FIREWOOD	stan1293
614	German	the fish	3.65	Fisch	fɪʃ	1753	f ɪ ʃ	f ɪ ʃ	c447 v219 c677	227	FISH	stan1295
615	French	the fish	3.65	poisson	pwasɔ̃	1753	p w a s ɔ̃	p w a s ɔ̃	c288 c457 v130 c087 v066	227	FISH	stan1290
616	Dutch	the fish	3.65	vis	vɪs	1753	v ɪ s	v ɪ s	c446 v219 c087	227	FISH	dutc1256
617	English	the fish	3.65	fish	fɪʃ	1753	f ɪ ʃ	f ɪ ʃ	c447 v219 c677	227	FISH	stan1293
672	German	the flea	3.813	Floh	floː	1305	f l oː	f l oː	c447 c548 v035	232	FLEA	stan1295
673	French	the flea	3.813	puce	pys	1306	p y s	p y s	c288 v166 c087	232	FLEA	stan1290
674	Dutch	the flea	3.813	vlo	vloː	1305	v l oː	v l oː	c446 c548 v035	232	FLEA	dutc1256
675	English	the flea	3.813	flea	fliː	1305	f l iː	f l iː	c447 c548 v183	232	FLEA	stan1293
737	German	the flesh	4.13	Fleisch	flaiʃ	1805	f l ai ʃ	f l ai ʃ	c447 c548 d030 c677	2259	FLESH	stan1295
738	French	the flesh	4.13	chair	ʃɛʀ	1806	ʃ ɛ ʀ	ʃ ɛ ʀ	c677 v229 c761	2259	FLESH	stan1290
739	Dutch	the flesh	4.13	vlees	vleːs	1805	v l eː s	v l eː s	c446 c548 v202 c087	2259	FLESH	dutc1256
740	English	the flesh	4.13	flesh	flɛʃ	1805	f l ɛ ʃ	f l ɛ ʃ	c447 c548 v229 c677	2259	FLESH	stan1293
1602	German	the floor	7.26	Fußboden	fuːs#boːdən	1938	f uː s # b oː d ə n	f uː s _ b oː d ə n	c447 v019 c087 m001 c254 v035 c143 v155 c105	1632	FLOOR	stan1295
1603	German	the floor	7.26	Diele	diːlə	1941	d iː l ə	d iː l ə	c143 v183 c548 v155	1632	FLOOR	stan1295
1604	French	the floor	7.26	plancher	plɑ̃ʃe	1940	p l ɑ̃ ʃ e	p l ɑ̃ ʃ e	c288 c548 v088 c677 v200	1632	FLOOR	stan1290
1605	French	the floor	7.26	sol	sɔl	1942	s ɔ l	s ɔ l	c087 v067 c548	1632	FLOOR	stan1290
1606	Dutch	the floor	7.26	vloer	vluːr	1939	v l uː r	v l uː r	c446 c548 v019 c151	1632	FLOOR	dutc1256
1607	English	the floor	7.26	floor	flɔːr	1939	f l ɔː r	f l ɔː r	c447 c548 v065 c151	1632	FLOOR	stan1293
689	German	the fly	3.83	Fliege	fliːɡə	1442	f l iː ɡ ə	f l iː g ə	c447 c548 v183 c824 v155	1504	FLY (INSECT)	stan1295
690	French	the fly	3.83	mouche	muʃ	1443	m u ʃ	m u ʃ	c239 v027 c677	1504	FLY (INSECT)	stan1290
691	Dutch	the fly	3.83	vlieg	vliːx	1442	v l iː x	v l iː x	c446 c548 v183 c772	1504	FLY (INSECT)	dutc1256
692	English	the fly	3.83	fly	flaɪ	1442	f l aɪ	f l aɪ	c447 c548 d032	1504	FLY (INSECT)	stan1293
533	German	the foal or colt	3.45	Füllen	fʏlən	509	f ʏ l ə n	f ʏ l ə n	c447 v173 c548 v155 c105	1647	FOAL	stan1295
534	French	the foal or colt	3.45	poulain	pulɛ̃	509	p u l ɛ̃	p u l ɛ̃	c288 v027 c548 v231	1647	FOAL	stan1290
535	Dutch	the foal or colt	3.45	veulen	vøːlə	509	v øː l ə	v øː l ə	c446 v169 c548 v155	1647	FOAL	dutc1256
536	English	the foal or colt	3.45	foal	fəʊl	509	f əʊ l	f əu l	c447 d029 c548	1647	FOAL	stan1293
537	English	the foal or colt	3.45	colt	kəʊlt	510	k əʊ l t	k əu l t	c831 d029 c548 c118	1647	FOAL	stan1293
80	German	the foam	1.324	Schaum	ʃaum	1828	ʃ au m	ʃ au m	c677 d026 c239	1768	FOAM	stan1295
81	French	the foam	1.324	écume	ekym	1830	e k y m	e k y m	v200 c831 v166 c239	1768	FOAM	stan1290
82	French	the foam	1.324	mousse	mus	1831	m u s	m u s	c239 v027 c087	1768	FOAM	stan1290
83	Dutch	the foam	1.324	schuim	sxœym	1828	s x œi m	s x œi m	c087 c772 d042 c239	1768	FOAM	dutc1256
84	English	the foam	1.324	foam	fəʊm	1829	f əʊ m	f əu m	c447 d029 c239	1768	FOAM	stan1293
231	German	the fog	1.74	Nebel	neːbəl	750	n eː b ə l	n eː b ə l	c105 v202 c254 v155 c548	249	FOG	stan1295
232	French	the fog	1.74	brume	bʀym	752	b ʀ y m	b ʀ y m	c254 c761 v166 c239	249	FOG	stan1290
233	French	the fog	1.74	brouillard	bʀujaʀ	752	b ʀ u j a ʀ	b ʀ u j a ʀ	c254 c761 v027 c564 v130 c761	249	FOG	stan1290
234	Dutch	the fog	1.74	mist	mɪst	753	m ɪ s t	m ɪ s t	c239 v219 c087 c118	249	FOG	dutc1256
235	English	the fog	1.74	fog	fɔɡ	751	f ɔ ɡ	f ɔ g	c447 v067 c824	249	FOG	stan1293
1207	German	the food	5.12	Essen	ɛsən	371	ɛ s ə n	ɛ s ə n	v229 c087 v155 c105	256	FOOD	stan1295
1208	German	the food	5.12	Nahrung	naːrʊŋ	373	n aː r ʊ ŋ	n aː r ʊ ŋ	c105 v137 c151 v056 c795	256	FOOD	stan1295
1210	French	the food	5.12	nourriture	nuʀityʀ	375	n u ʀ i t y ʀ	n u ʀ i t y ʀ	c105 v027 c761 v191 c118 v166 c761	256	FOOD	stan1290
1211	Dutch	the food	5.12	voedsel	vuːʦəl	374	v uː ʦ ə l	v uː ts ə l	c446 v019 c015 v155 c548	256	FOOD	dutc1256
1212	English	the food	5.12	food	fuːd	372	f uː d	f uː d	c447 v019 c143	256	FOOD	stan1293
909	German	the foot	4.37	Fuß	fuːs	608	f uː s	f uː s	c447 v019 c087	1301	FOOT	stan1295
910	French	the foot	4.37	pied	pje	609	p j e	p j e	c288 c564 v200	1301	FOOT	stan1290
911	Dutch	the foot	4.37	voet	vuːt	608	v uː t	v uː t	c446 v019 c118	1301	FOOT	dutc1256
912	English	the foot	4.37	foot	fʊt	608	f ʊ t	f ʊ t	c447 v056 c118	1301	FOOT	stan1293
1287	German	the fork	5.39	Gabel	ɡaːbəl	1336	ɡ aː b ə l	g aː b ə l	c824 v137 c254 v155 c548	1302	FORK	stan1295
1288	French	the fork	5.39	fourchette	fuʀʃɛt	1337	f u ʀ ʃ ɛ t	f u ʀ ʃ ɛ t	c447 v027 c761 c677 v229 c118	1302	FORK	stan1290
1289	Dutch	the fork	5.39	vork	vɔrk	-1337	v ɔ r k	v ɔ r k	c446 v067 c151 c831	1302	FORK	dutc1256
1290	English	the fork	5.39	fork	fɔːk	-1337	f ɔː k	f ɔː k	c447 v065 c831	1302	FORK	stan1293
1744	German	the fork(2)/pitchfork	8.26	Gabel	ɡaːbəl	2101	ɡ aː b ə l	g aː b ə l	c824 v137 c254 v155 c548	337	PITCHFORK	stan1295
1745	French	the fork(2)/pitchfork	8.26	fourche	fuʀʃ	2104	f u ʀ ʃ	f u ʀ ʃ	c447 v027 c761 c677	337	PITCHFORK	stan1290
1748	Dutch	the fork(2)/pitchfork	8.26	mestvork	mɛst#fɔrk	-2104	m ɛ s t # f ɔ r k	m ɛ s t _ f ɔ r k	c239 v229 c087 c118 m001 c447 v067 c151 c831	337	PITCHFORK	dutc1256
1749	English	the fork(2)/pitchfork	8.26	pitchfork	pɪʧ#fɔːk	-2104	p ɪ ʧ # f ɔː k	p ɪ tʃ _ f ɔː k	c288 v219 c645 m001 c447 v065 c831	337	PITCHFORK	stan1293
544	German	the fowl	3.5	Geflügel	ɡə#flyːɡəl	1843	ɡ ə # f l yː ɡ ə l	g ə _ f l yː g ə l	c824 v155 m001 c447 c548 v168 c824 v155 c548	265	FOWL	stan1295
545	French	the fowl	3.5	volaille	vɔlɑj	1845	v ɔ l ɑ j	v ɔ l ɑ j	c446 v067 c548 v089 c564	265	FOWL	stan1290
546	Dutch	the fowl	3.5	kip	kɪp	1846	k ɪ p	k ɪ p	c831 v219 c288	265	FOWL	dutc1256
547	Dutch	the fowl	3.5	pluimvee	plœymveː	1847	p l œi m v eː	p l œi m v eː	c288 c548 d042 c239 c446 v202	265	FOWL	dutc1256
548	English	the fowl	3.5	poultry	pəʊltrɪ	1844	p əʊ l t r ɪ	p əu l t r ɪ	c288 d029 c548 c118 c151 v219	265	FOWL	stan1293
