ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_FORM	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
1191	Breton_ST	fog	latar	l a t a r	2276	'latar	c548 v130 c118 v130 c151	249	bret1244
1192	Catalan	fog	bɔjɾə	b ɔ j ɾ ə	3434	ˈbɔjɾə, ˈbɔjɾa	c254 v067 c564 c064 v155	249	stan1289
1193	Danish	fog	d̥ʰɔːwə	d̥ʰ ɔː w ə	1315	d̥ʰɔ:wə	c116 v065 c457 v155	249	dani1285
1194	Dutch_List	fog	nevəl	n e v ə l	2150	'nevəl	c105 v200 c446 v155 c548	249	dutc1256
1195	Bihari	fog	dʱũin	d̤ ũ i n	1604	dhũin	c117 v025 v191 c105	249	mait1250
1196	Oriya	fog	kuhuɖi	k u h u ɖ i	1663	kuhuḍi	c831 v027 c401 v027 c715 v191	249	oriy1255
1197	Urdu	fog	d̪ʰʊ̃d̪	d̪ʰ ʊ̃ d̪	1604	d̪ʰʊ̃d̪	c377 v057 c367	249	urdu1245
1198	Breton_ST	fog	brỹmɛn	b r ỹ m ɛ n	1006	'brỹmɛn	c254 c151 v165 c239 v229 c105	249	bret1244
1199	Dutch_List	fog	mɪst	m ɪ s t	42	mɪst	c239 v219 c087 c118	249	dutc1256
1200	Greek_Mod	fog	o̞mixli	o̞ m i x l i	42	o̞ˈmixli	v033 c239 v191 c772 c548 v191	249	mode1248
1201	Armenian_Mod	fog	mɑrɑχuʁ	m ɑ r ɑ χ u ʁ	3623	mɑrɑˈχuʁ	c239 v089 c151 v089 c742 v027 c733	249	nucl1235
1202	Catalan	fog	bromə	b r o m ə	1006	'bromə	c254 c151 v042 c239 v155	249	stan1289
1203	Armenian_Mod	foot	votkʰ	v o t kʰ	225	votkʰ	c446 v042 c118 c813	1301	nucl1235
1204	Czech	foot	noɦa	n o ɦ a	1252	noɦa	c105 v042 c397 v130	1301	czec1258
1205	German	foot	fuːs	f uː s	225	fu:s	c447 v019 c087	1301	stan1295
1206	Italian	foot	pjɛde	p j ɛ d e	225	'pjɛde	c288 c564 v229 c143 v200	1301	ital1282
1207	Swedish	foot	fuːt	f uː t	225	fuːt	c447 v019 c118	1301	swed1254
1208	Breton_ST	foot	trwaːt	t r w aː t	1007	trwa:t	c118 c151 c457 v137 c118	1301	bret1244
1209	Catalan	foot	pɛuw	p ɛu w	225	pɛuw	c288 d053 c457	1301	stan1289
1210	Danish	foot	foð	f o ð	225	foð	c447 v042 c415	1301	dani1285
1211	Dutch_List	foot	vut	v u t	225	vut	c446 v027 c118	1301	dutc1256
1212	English	foot	fʊt	f ʊ t	225	fʊt	c447 v056 c118	1301	stan1293
1213	French	foot	pje	p j e	225	pje	c288 c564 v200	1301	stan1290
1214	Greek_Mod	foot	po̞ði	p o̞ ð i	225	ˈpo̞ði	c288 v033 c415 v191	1301	mode1248
1215	Marathi	foot	paj	p a j	225	paj	c288 v130 c564	1301	mara1378
1216	Polish	foot	stɔpa	s t ɔ p a	1227	ˈstɔpa	c087 c118 v067 c288 v130	1301	poli1260
1217	Portuguese_ST	foot	pɛ	p ɛ	225	pɛ	c288 v229	1301	port1283
1218	Russian	foot	noga	n o g a	1252	no'ga	c105 v042 c824 v130	1301	russ1263
1219	Spanish	foot	pje	p j e	225	pje	c288 c564 v200	1301	stan1288
1220	Bihari	foot	pyaer	p y a e r	225	pyaer	c288 v166 v130 v200 c151	1301	mait1250
1221	Oriya	foot	padɔ	p a d ɔ	225	padɔ	c288 v130 c143 v067	1301	oriy1255
1222	Urdu	foot	pɑuː	p ɑ uː	225	pɑũ, peɾ	c288 v089 v019	1301	urdu1245
1223	Urdu	four	ʧɑɾ	tʃ ɑ ɾ	44	ʧɑɾ	c645 v089 c064	1500	urdu1245
1224	Armenian_Mod	four	ʧʰoɾs	tʃʰ o ɾ s	44	ʧʰoɾs	c655 v042 c064 c087	1500	nucl1235
1225	Czech	four	tʂtɪr̝ɪ	t ʂ t ɪ r ɪ	44	tʂtɪr̝ɪ	c118 c699 c118 v219 c151 v219	1500	czec1258
1226	German	four	fiːɐ̯	f iː ɐ̯	44	fi:ɐ̯	c447 v183 v118	1500	stan1295
1227	Italian	four	kwattro	k w a tː r o	44	'kwattro	c831 c457 v130 c128 c151 v042	1500	ital1282
1228	Swedish	four	fyːra	f yː r a	44	ˈfyːra	c447 v168 c151 v130	1500	swed1254
1229	Breton_ST	four	pɛːvar	p ɛː v a r	44	'pɛ:var, 'pe:dɛr	c288 v225 c446 v130 c151	1500	bret1244
1230	Catalan	four	kwatɾə	k w a t ɾ ə	44	'kwatɾə	c831 c457 v130 c118 c064 v155	1500	stan1289
1231	Danish	four	fiːʌ	f iː ʌ	44	'fi:ʌ	c447 v183 v097	1500	dani1285
1232	Dutch_List	four	vir	v i r	44	vir	c446 v191 c151	1500	dutc1256
1233	English	four	fɔː	f ɔː	44	fɔ:	c447 v065	1500	stan1293
1234	French	four	katʀ	k a t ʀ	44	katʀ	c831 v130 c118 c761	1500	stan1290
1235	Greek_Mod	four	te̞se̞ra	t e̞ s e̞ r a	44	ˈte̞se̞ˌra	c118 v217 c087 v217 c151 v130	1500	mode1248
1236	Marathi	four	ʧaɾ	tʃ a ɾ	44	tʃaɾ	c645 v130 c064	1500	mara1378
1237	Polish	four	ʧtɛrɨ	tʃ t ɛ r ɨ	44	ˈʧtɛrɨ	c645 c118 v229 c151 v116	1500	poli1260
1238	Portuguese_ST	four	kuatɾu	k ua t ɾ u	44	ˈkuatɾu	c831 d010 c118 c064 v027	1500	port1283
1239	Russian	four	ʧetɨrʲe	tʃ e t ɨ rʲ e	44	tʃe'tɨrʲe	c645 v200 c118 v116 c162 v200	1500	russ1263
1240	Spanish	four	kwatɾo	k w a t ɾ o	44	'kwatɾo	c831 c457 v130 c118 c064 v042	1500	stan1288
1241	Bihari	four	cəir	c əi r	44	cəir	c600 d035 c151	1500	mait1250
1242	Oriya	four	cari	c a r i	44	cari	c600 v130 c151 v191	1500	oriy1255
1243	Armenian_Mod	freeze	sɑrʧʰɛl	s ɑ r tʃʰ ɛ l	592	sɑrˈʧʰɛl	c087 v089 c151 c655 v229 c548	1431	nucl1235
1244	Czech	freeze	zamr̩znoʊ̯t	z a m r̩ z n ou t	403	zamr̩znoʊ̯t	c078 v130 c239 c152 c078 c105 d006 c118	1431	czec1258
1245	German	freeze	friːrən	f r iː r ə n	226	'fri:rən	c447 c151 v183 c151 v155 c105	1431	stan1295
1246	Italian	freeze	dʒelare	d ʒ e l a r e	881	dʒe'lare	c143 c679 v200 c548 v130 c151 v200	1431	ital1282
1247	Swedish	freeze	fryːsa	f r yː s a	226	'fry:sa	c447 c151 v168 c087 v130	1431	swed1254
1248	Breton_ST	freeze	rɛːvĩ	r ɛː v ĩ	226	'rɛ:vĩ	c151 v225 c446 v193	1431	bret1244
1249	Catalan	freeze	ʒəla	ʒ ə l a	881	ʒə'la	c679 v155 c548 v130	1431	stan1289
1250	Danish	freeze	fʁyːsə	f ʁ yː s ə	226	'fʁy:sə	c447 c733 v168 c087 v155	1431	dani1285
1251	Dutch_List	freeze	vrizən	v r i z ə n	226	'vrizə(n)	c446 c151 v191 c078 v155 c105	1431	dutc1256
1252	English	freeze	friːz	f r iː z	226	fri:z	c447 c151 v183 c078	1431	stan1293
1253	French	freeze	ʒəle	ʒ ə l e	881	ʒəle	c679 v155 c548 v200	1431	stan1290
1254	Greek_Mod	freeze	paɣo̞no̞	p a ɣ o̞ n o̞	2667	paˈɣo̞no̞	c288 v130 c774 v033 c105 v033	1431	mode1248
1255	Marathi	freeze	goʈʰɳe	g o ʈʰ ɳ e	3436	'goʈʰɳe	c824 v042 c719 c705 v200	1431	mara1378
1256	Portuguese_ST	freeze	ʒɨlaɾ	ʒ ɨ l a ɾ	881	ʒɨˈlaɾ	c679 v116 c548 v130 c064	1431	port1283
1257	Russian	freeze	zamʲerzatʲ	z a mʲ e r z a tʲ	403	zamʲer'zatʲ	c078 v130 c240 v200 c151 c078 v130 c113	1431	russ1263
1258	Spanish	freeze	elaɾ	e l a ɾ	881	e'laɾ	v200 c548 v130 c064	1431	stan1288
1259	Bihari	freeze	jəməb	j ə m ə b	777	jəməb	c564 v155 c239 v155 c254	1431	mait1250
1260	Oriya	freeze	bɔsiʤiba	b ɔ s i dʒ i b a	3449	bɔsiʤiba	c254 v067 c087 v191 c649 v191 c254 v130	1431	oriy1255
1261	Urdu	freeze	ʤəmnə	dʒ ə m n ə	777	ʤəmnə	c649 v155 c239 c105 v155	1431	urdu1245
1262	Polish	freeze	marznɔ̃ʨ	m a r z n ɔ̃ tɕ	403	ˈmarznɔ̃ʨ	c239 v130 c151 c078 c105 v066 c198	1431	poli1260
1263	Urdu	fruit	pʰəl	pʰ ə l	778	pʰəl	c261 v155 c548	1507	urdu1245
1264	German	fruit	fruxt	f r u x t	227	fruxt	c447 c151 v027 c772 c118	1507	stan1295
1265	Italian	fruit	frutto	f r u tː o	227	'frutto	c447 c151 v027 c128 v042	1507	ital1282
1266	Swedish	fruit	frɵkt	f r ɵ k t	227	frɵkt	c447 c151 v104 c831 c118	1507	swed1254
1267	Danish	fruit	fʁɔg̥d̥ʰ	f ʁ ɔ g̥ d̥ʰ	227	fʁɔg̥d̥ʰ	c447 c733 v067 c817 c116	1507	dani1285
1268	Dutch_List	fruit	vrʏχt	v r ʏ χ t	227	vrʏχt	c446 c151 v173 c742 c118	1507	dutc1256
1269	English	fruit	fruːt	f r uː t	227	fru:t	c447 c151 v019 c118	1507	stan1293
1270	French	fruit	fʀɥi	f ʀ ɥ i	227	fʀɥi	c447 c761 c453 v191	1507	stan1290
1271	Greek_Mod	fruit	fruto̞	f r u t o̞	227	ˈfruto̞	c447 c151 v027 c118 v033	1507	mode1248
1272	Marathi	fruit	pʰəɭ	pʰ ə ɭ	778	pʰəɭ	c261 v155 c702	1507	mara1378
1273	Polish	fruit	ɔvɔʦ	ɔ v ɔ ts	1136	ˈɔvɔʦ	v067 c446 v067 c015	1507	poli1260
1274	Portuguese_ST	fruit	fɾutɐ	f ɾ u t ɐ	227	ˈfɾutɐ, ˈfɾutu	c447 c064 v027 c118 v119	1507	port1283
1275	Russian	fruit	plod	p l o d	2655	plod	c288 c548 v042 c143	1507	russ1263
1276	Spanish	fruit	fɾuta	f ɾ u t a	227	'fɾuta	c447 c064 v027 c118 v130	1507	stan1288
1277	Breton_ST	fruit	frweːs	f r w eː s	227	'frwe:s	c447 c151 c457 v202 c087	1507	bret1244
1278	Catalan	fruit	frui	f r ui	227	fru'i, 'fruijt	c447 c151 d016	1507	stan1289
1279	Bihari	fruit	pʰal	pʰ a l	778	phal	c261 v130 c548	1507	mait1250
1280	Oriya	fruit	pʰɔɭɔ	pʰ ɔ ɭ ɔ	778	phɔḷɔ	c261 v067 c702 v067	1507	oriy1255
1281	Oriya	fruit	gilɔ	g i l ɔ	3450	gilɔ	c824 v191 c548 v067	1507	oriy1255
1282	Czech	fruit	plot	p l o t	2655	plot	c288 c548 v042 c118	1507	czec1258
1283	Bihari	full	bʱərəl	b̤ ə r ə l	2282	bhərəl	c278 v155 c151 v155 c548	1429	mait1250
1284	Oriya	full	purɳɳɔ	p u r ɳː ɔ	2235	purṇṇɔ	c288 v027 c151 c706 v067	1429	oriy1255
1285	Oriya	full	bʱɔrti	b̤ ɔ r t i	2282	bhɔrti	c278 v067 c151 c118 v191	1429	oriy1255
1286	Urdu	full	puɾə	p u ɾ ə	2235	puɾə	c288 v027 c064 v155	1429	urdu1245
1287	Italian	full	pjɛno	p j ɛ n o	2235	'pjɛno	c288 c564 v229 c105 v042	1429	ital1282
1288	Polish	full	pɛwnɨ	p ɛ w n ɨ	2235	ˈpɛwnɨ	c288 v229 c457 c105 v116	1429	poli1260
1289	Armenian_Mod	full	li	l i	2235	li, ˈlikʰə	c548 v191	1429	nucl1235
1290	French	full	plɛ̃	p l ɛ̃	2235	plɛ̃	c288 c548 v231	1429	stan1290
1291	Russian	full	polnɨj	p o l n ɨ j	2235	'polnɨj	c288 v042 c548 c105 v116 c564	1429	russ1263
1292	German	full	fɔl	f ɔ l	2235	fɔl	c447 v067 c548	1429	stan1295
1293	Spanish	full	ʎeno	ʎ e n o	2235	'ʎeno	c582 v200 c105 v042	1429	stan1288
1294	Czech	full	pl̩niː	p l̩ n iː	2235	pl̩niː	c288 c537 c105 v183	1429	czec1258
1295	Breton_ST	full	lœ̃ːn	l œ̃ː n	2235	lœ̃:n	c548 v177 c105	1429	bret1244
1296	Swedish	full	fɵl	f ɵ l	2235	fɵl	c447 v104 c548	1429	swed1254
1297	Armenian_Mod	give	tɑl	t ɑ l	405	tɑl	c118 v089 c548	1447	nucl1235
1298	Czech	give	daːvat	d aː v a t	405	daːvat	c143 v137 c446 v130 c118	1447	czec1258
1299	German	give	geːbn̩	g eː b n̩	228	'ge:bn̩	c824 v202 c254 c095	1447	stan1295
1300	Italian	give	dare	d a r e	405	'dare	c143 v130 c151 v200	1447	ital1282
1301	Swedish	give	jeː	j eː	228	je:	c564 v202	1447	swed1254
1302	Breton_ST	give	rɛĩ	r ɛi	1010	'rɛĩ	c151 d059	1447	bret1244
1303	Catalan	give	duna	d u n a	405	du'na	c143 v027 c105 v130	1447	stan1289
1304	Danish	give	g̥i	g̥ i	228	g̥i	c817 v191	1447	dani1285
1305	Dutch_List	give	ɣevən	ɣ e v ə n	228	'ɣevə(n)	c774 v200 c446 v155 c105	1447	dutc1256
1306	English	give	gɪv	g ɪ v	228	gɪv	c824 v219 c446	1447	stan1293
1307	French	give	dɔne	d ɔ n e	405	dɔne	c143 v067 c105 v200	1447	stan1290
1308	Greek_Mod	give	ðino̞	ð i n o̞	405	ˈðino̞	c415 v191 c105 v033	1447	mode1248
1309	Marathi	give	deɳe	d e ɳ e	405	'deɳe	c143 v200 c705 v200	1447	mara1378
1310	Polish	give	davaʨ	d a v a tɕ	405	ˈdavaʨ	c143 v130 c446 v130 c198	1447	poli1260
1311	Portuguese_ST	give	daɾ	d a ɾ	405	daɾ	c143 v130 c064	1447	port1283
1312	Russian	give	davatʲ	d a v a tʲ	405	da'vatʲ	c143 v130 c446 v130 c113	1447	russ1263
1313	Spanish	give	daɾ	d a ɾ	405	daɾ	c143 v130 c064	1447	stan1288
1314	Bihari	give	deb	d e b	405	deb	c143 v200 c254	1447	mait1250
1315	Oriya	give	de	d e	405	de-	c143 v200	1447	oriy1255
1316	Urdu	give	d̪enə	d̪ e n ə	405	d̪enə	c367 v200 c105 v155	1447	urdu1245
1317	Armenian_Mod	good	lɑv	l ɑ v	678	lɑv	c548 v089 c446	1035	nucl1235
1318	Czech	good	dobriː	d o b r iː	1137	dobriː	c143 v042 c254 c151 v183	1035	czec1258
1319	German	good	guːt	g uː t	229	gu:t	c824 v019 c118	1035	stan1295
1320	Italian	good	bwɔno	b w ɔ n o	883	'bwɔno	c254 c457 v067 c105 v042	1035	ital1282
1321	Swedish	good	guːd	g uː d	229	gu:d	c824 v019 c143	1035	swed1254
1322	Breton_ST	good	maːd	m aː d	1011	maːd	c239 v137 c143	1035	bret1244
1323	Catalan	good	bɔ	b ɔ	883	bɔ	c254 v067	1035	stan1289
1324	Danish	good	g̥o	g̥ o	229	g̥o	c817 v042	1035	dani1285
1325	Dutch_List	good	ɣut	ɣ u t	229	ɣut	c774 v027 c118	1035	dutc1256
1326	English	good	gʊd	g ʊ d	229	gʊd	c824 v056 c143	1035	stan1293
1327	French	good	bɔ̃	b ɔ̃	883	bɔ̃	c254 v066	1035	stan1290
1328	Greek_Mod	good	kalo̞s	k a l o̞ s	1489	kaˈlo̞s	c831 v130 c548 v033 c087	1035	mode1248
1329	Marathi	good	tsaŋglə	t s a ŋ g l ə	1836	'tsaŋglə	c118 c087 v130 c795 c824 c548 v155	1035	mara1378
1330	Polish	good	dɔbrɨ	d ɔ b r ɨ	1137	ˈdɔbrɨ	c143 v067 c254 c151 v116	1035	poli1260
1331	Portuguese_ST	good	bõ	b õ	883	bõ	c254 v038	1035	port1283
1332	Russian	good	xoroʃɨj	x o r o ʃ ɨ j	3437	xo'roʃɨj	c772 v042 c151 v042 c677 v116 c564	1035	russ1263
1333	Spanish	good	bweno	b w e n o	883	'bweno	c254 c457 v200 c105 v042	1035	stan1288
1334	Bihari	good	nik	n i k	3446	nik	c105 v191 c831	1035	mait1250
1335	Bihari	good	barhĩyã	b a r h ĩ j ã	3447	barhĩyã	c254 v130 c151 c401 v193 c564 v147	1035	mait1250
1336	Oriya	good	bʱɔlɔ	b̤ ɔ l ɔ	779	bhɔlɔ	c278 v067 c548 v067	1035	oriy1255
1337	Swedish	good	brɑː	b r ɑː	3648	brɑː	c254 c151 v091	1035	swed1254
1338	Armenian_Mod	grass	χot	χ o t	593	χot	c742 v042 c118	606	nucl1235
1339	Czech	grass	traːva	t r aː v a	1138	traːva	c118 c151 v137 c446 v130	606	czec1258
1340	Urdu	grass	ɡʰɑs	gʰ ɑ s	780	ɡʰɑs	c829 v089 c087	606	urdu1245
1341	German	grass	graːs	g r aː s	230	gra:s	c824 c151 v137 c087	606	stan1295
1342	Italian	grass	ɛrba	ɛ r b a	884	'ɛrba	v229 c151 c254 v130	606	ital1282
1343	Swedish	grass	grɛːs	g r ɛː s	230	grɛ:s	c824 c151 v225 c087	606	swed1254
1344	Portuguese_ST	grass	ɛɾvɐ	ɛ ɾ v ɐ	884	ˈɛɾvɐ	v229 c064 c446 v119	606	port1283
1345	Russian	grass	trava	t r a v a	1138	tra'va	c118 c151 v130 c446 v130	606	russ1263
1346	Spanish	grass	jeɾβa	j e ɾ β a	884	'jeɾβa	c564 v200 c064 c225 v130	606	stan1288
1347	Danish	grass	g̥ʁas	g̥ ʁ a s	230	g̥ʁas	c817 c733 v130 c087	606	dani1285
1348	Catalan	grass	erβə	e r β ə	884	'erßə	v200 c151 c225 v155	606	stan1289
1349	Greek_Mod	grass	xo̞rtari	x o̞ r t a r i	1490	xo̞rˈtari	c772 v033 c151 c118 v130 c151 v191	606	mode1248
1350	Marathi	grass	gəwət	g ə w ə t	780	'gəwət	c824 v155 c457 v155 c118	606	mara1378
1351	Polish	grass	trava	t r a v a	1138	ˈtrava	c118 c151 v130 c446 v130	606	poli1260
1352	French	grass	ɛʀb	ɛ ʀ b	884	ɛʀb	v229 c761 c254	606	stan1290
1353	Breton_ST	grass	gɛwt	g ɛ w t	1092	gɛwt	c824 v229 c457 c118	606	bret1244
1354	English	grass	grɑːs	g r ɑː s	230	grɑ:s	c824 c151 v091 c087	606	stan1293
1355	Dutch_List	grass	ɣrɑs	ɣ r ɑ s	230	ɣrɑs	c774 c151 v089 c087	606	dutc1256
1356	Oriya	grass	gʱasɔ	g̤ a s ɔ	780	ghasɔ	c828 v130 c087 v067	606	oriy1255
1357	Marathi	grass	gʰəs	gʰ ə s	780	gʰəs	c829 v155 c087	606	mara1378
1358	Armenian_Mod	green	kɑnɑʧʰ	k ɑ n ɑ tʃʰ	594	kɑˈnɑʧʰ	c831 v089 c105 v089 c655	1425	nucl1235
1359	Czech	green	zɛlɛniː	z ɛ l ɛ n iː	49	zɛlɛniː	c078 v229 c548 v229 c105 v183	1425	czec1258
1360	Swedish	green	grøːn	g r øː n	231	grøːn	c824 c151 v169 c105	1425	swed1254
1361	Italian	green	verde	v e r d e	885	'verde	c446 v200 c151 c143 v200	1425	ital1282
1362	German	green	gryːn	g r yː n	231	gry:n	c824 c151 v168 c105	1425	stan1295
1363	Breton_ST	green	glaːs	g l aː s	49	'gla:s	c824 c548 v137 c087	1425	bret1244
1364	Catalan	green	bert	b e r t	885	bert	c254 v200 c151 c118	1425	stan1289
1365	Danish	green	g̥ʁɶ̝n	g̥ ʁ œ n	231	g̥ʁɶ̝n	c817 c733 v178 c105	1425	dani1285
1366	Dutch_List	green	ɣrun	ɣ r u n	231	ɣrun	c774 c151 v027 c105	1425	dutc1256
1367	English	green	griːn	g r iː n	231	gri:n	c824 c151 v183 c105	1425	stan1293
1368	French	green	vɛʀ	v ɛ ʀ	885	vɛʀ	c446 v229 c761	1425	stan1290
1369	Greek_Mod	green	prasino̞s	p r a s i n o̞ s	1491	ˈprasiˌno̞s	c288 c151 v130 c087 v191 c105 v033 c087	1425	mode1248
1370	Marathi	green	ɦiɾwa	ɦ i ɾ w a	1947	'ɦiɾwa	c397 v191 c064 c457 v130	1425	mara1378
1371	Polish	green	ʑɛlɔnɨ	ʑ ɛ l ɔ n ɨ	49	ʑɛˈlɔnɨ	c201 v229 c548 v067 c105 v116	1425	poli1260
1372	Portuguese_ST	green	veɾdɨ	v e ɾ d ɨ	885	ˈveɾdɨ	c446 v200 c064 c143 v116	1425	port1283
1373	Russian	green	zʲelʲonɨj	zʲ e lʲ o n ɨ j	49	zʲe'lʲonɨj	c082 v200 c540 v042 c105 v116 c564	1425	russ1263
1374	Spanish	green	beɾðe	b e ɾ ð e	885	'beɾðe	c254 v200 c064 c415 v200	1425	stan1288
1375	Bihari	green	həriyər	h ə r i j ə r	49	həriyər	c401 v155 c151 v191 c564 v155 c151	1425	mait1250
1376	Oriya	green	sagua	s a g ua	705	sagua	c087 v130 c824 d010	1425	oriy1255
1377	Urdu	green	həɾɑ	h ə ɾ ɑ	1664	həɾɑ	c401 v155 c064 v089	1425	urdu1245
1378	Breton_ST	green	gweːr	g w eː r	885	'gwe:r	c824 c457 v202 c151	1425	bret1244
1379	Armenian_Mod	guts	ɑʁikʰ	ɑ ʁ i kʰ	595	ɑˈʁikʰ	v089 c733 v191 c813	1334	nucl1235
1380	Czech	guts	vɲɪtr̝noscɪ	v ɲ ɪ t r n o s c ɪ	1283	vɲɪtr̝̊noscɪ	c446 c589 v219 c118 c151 c105 v042 c087 c600 v219	1334	czec1258
1381	German	guts	aingəvaidə	ai n g ə v ai d ə	2673	'a‿ingəva‿idə	d030 c105 c824 v155 c446 d030 c143 v155	1334	stan1295
1382	Italian	guts	intestino	i n t e s t i n o	1588	intes'tino	v191 c105 c118 v200 c087 c118 v191 c105 v042	1334	ital1282
1383	Swedish	guts	tarm	t a r m	232	tarm	c118 v130 c151 c239	1334	swed1254
1384	Breton_ST	guts	buzɛlɛn	b u z ɛ l ɛ n	1012	bu'zɛlɛn	c254 v027 c078 v229 c548 v229 c105	1334	bret1244
1385	Catalan	guts	buðeʎs	b u ð e ʎ s	1263	bu'ðeʎs	c254 v027 c415 v200 c582 c087	1334	stan1289
1386	Danish	guts	d̥ʰɑm	d̥ʰ ɑ m	232	d̥ʰɑm	c116 v089 c239	1334	dani1285
1387	Dutch_List	guts	dɑrm	d ɑ r m	232	dɑrm	c143 v089 c151 c239	1334	dutc1256
1388	English	guts	gʌts	g ʌ t s	2676	gʌts	c824 v097 c118 c087	1334	stan1293
1389	French	guts	bwajo	b w a j o	1263	bwajo	c254 c457 v130 c564 v042	1334	stan1290
1390	Russian	guts	kɨskɨ	k ɨ s k ɨ	1228	'kɨskɨ	c831 v116 c087 c831 v116	1334	russ1263
1391	Bihari	guts	ãt	ã t	1588	ãt	v147 c118	1334	mait1250
1392	Urdu	guts	bəɽi#ʔɑ̃t̪	b ə ɽ i _ ʔ ɑ̃ t̪	1588	bəɽi ʔɑ̃t̪	c254 v155 c697 v191 m001 c405 v088 c378	1334	urdu1245
1393	Oriya	guts	ɔntɔ	ɔ n t ɔ	1588	ɔntɔ	v067 c105 c118 v067	1334	oriy1255
1394	German	guts	gədɛrm	g ə d ɛ r m	232	gə'dɛrm	c824 v155 c143 v229 c151 c239	1334	stan1295
1395	Polish	guts	vnɛ̃ʧnɔɕʨi	v n ɛ̃ tʃ n ɔ ɕ tɕ i	1283	vnɛ̃ˈʧnɔɕʨi	c446 c105 v231 c645 c105 v067 c202 c198 v191	1334	poli1260
1396	Portuguese_ST	guts	ẽtɾɐɲɐʃ	ẽ t ɾ ɐ ɲ ɐ ʃ	1588	ẽˈtɾɐɲɐʃ	v201 c118 c064 v119 c589 v119 c677	1334	port1283
1397	Greek_Mod	guts	splaxna	s p l a x n a	2674	ˈsplaxna	c087 c288 c548 v130 c772 c105 v130	1334	mode1248
1398	Marathi	guts	ɦusaɾiː	ɦ u s a ɾ iː	3599	ɦusaɾi:	c397 v027 c087 v130 c064 v183	1334	mara1378
1399	Spanish	guts	tɾipas	t ɾ i p a s	3615	'tɾipas	c118 c064 v191 c288 v130 c087	1334	stan1288
1400	Armenian_Mod	guts	pʰoɾotikʰ	pʰ o ɾ o t i kʰ	3627	pʰoɾoˈtikʰ	c261 v042 c064 v042 c118 v191 c813	1334	nucl1235
1401	Portuguese_ST	guts	ĩtɨʃtinu	ĩ t ɨ ʃ t i n u	3647	ĩtɨʃˈtinu	v193 c118 v116 c677 c118 v191 c105 v027	1334	port1283
1402	Armenian_Mod	hair	mɑz	m ɑ z	596	mɑz	c239 v089 c078	1040	nucl1235
1403	Czech	hair	vlasɪ	v l a s ɪ	1202	vlasɪ	c446 c548 v130 c087 v219	1040	czec1258
1404	German	hair	haːɐ̯	h aː ɐ̯	233	ha:ɐ̯	c401 v137 v118	1040	stan1295
1405	Italian	hair	pelo	p e l o	3153	'pelo	c288 v200 c548 v042	1040	ital1282
1406	Swedish	hair	hoːr	h oː r	233	ho:r	c401 v035 c151	1040	swed1254
1407	Breton_ST	hair	blɛw	b l ɛ w	1013	blɛw	c254 c548 v229 c457	1040	bret1244
1408	Catalan	hair	pɛl	p ɛ l	3153	pɛl	c288 v229 c548	1040	stan1289
1409	Danish	hair	hɒ	h ɒ	233	hɒ	c401 v052	1040	dani1285
1410	Dutch_List	hair	har	h a r	233	har	c401 v130 c151	1040	dutc1256
1411	English	hair	hɛə	h ɛ ə	233	hɛə	c401 v229 v155	1040	stan1293
1412	French	hair	ʃəvø	ʃ ə v ø	887	ʃəvø	c677 v155 c446 v171	1040	stan1290
1413	Greek_Mod	hair	maʎa	m a ʎ a	1492	maˈʎa	c239 v130 c582 v130	1040	mode1248
1414	Marathi	hair	kes	k e s	2290	kes	c831 v200 c087	1040	mara1378
1415	Polish	hair	vwɔs	v w ɔ s	1202	vwɔs	c446 c457 v067 c087	1040	poli1260
1416	Portuguese_ST	hair	kɐβelu	k ɐ β e l u	887	kɐˈβelu	c831 v119 c225 v200 c548 v027	1040	port1283
1417	Russian	hair	volosɨ	v o l o s ɨ	1202	'volosɨ	c446 v042 c548 v042 c087 v116	1040	russ1263
1418	Spanish	hair	kaβeʎo	k a β e ʎ o	887	ka'βeʎo	c831 v130 c225 v200 c582 v042	1040	stan1288
1419	Urdu	hair	bɑl	b ɑ l	781	bɑl	c254 v089 c548	1040	urdu1245
1420	Bihari	hair	kes	k e s	2290	kes	c831 v200 c087	1040	mait1250
1421	Oriya	hair	baɭɔ	b a ɭ ɔ	781	baḷɔ	c254 v130 c702 v067	1040	oriy1255
1422	Italian	hair	kapello	k a p e lː o	887	ka'pello	c831 v130 c288 v200 c539 v042	1040	ital1282
1423	Catalan	hair	kəβɛʎ	k ə β ɛ ʎ	887	kə'ßɛʎ	c831 v155 c225 v229 c582	1040	stan1289
1424	Armenian_Mod	hand	ʣɛrkʰ	dz ɛ r kʰ	411	ʣɛrkʰ	c020 v229 c151 c813	1277	nucl1235
1425	Czech	hand	rʊka	r ʊ k a	1141	rʊka	c151 v056 c831 v130	1277	czec1258
1426	German	hand	hant	h a n t	234	hant	c401 v130 c105 c118	1277	stan1295
1427	Italian	hand	mano	m a n o	888	'mano	c239 v130 c105 v042	1277	ital1282
1428	Swedish	hand	hand	h a n d	234	hand	c401 v130 c105 c143	1277	swed1254
1429	Polish	hand	rɛ̃ka	r ɛ̃ k a	1141	ˈrɛ̃ka	c151 v231 c831 v130	1277	poli1260
1430	Catalan	hand	ma	m a	888	ma	c239 v130	1277	stan1289
